"v_sol","Points:0","Points:1","Points:2"
-1.6359e-05,0,0,0
0.00029424,0.03125,0,0
0.00050115,0.0625,0,0
0.00044739,0.09375,0,0
0.00021383,0.125,0,0
0.00012478,0.15625,0,0
0.00010994,0.1875,0,0
0.00066211,0.21875,0,0
0.00055259,0.25,0,0
-0.0023301,0.28125,0,0
-0.0061021,0.3125,0,0
-0.0081042,0.34375,0,0
-0.0077944,0.375,0,0
-0.0060154,0.40625,0,0
-0.0037228,0.4375,0,0
-0.0010464,0.46875,0,0
0.0020088,0.5,0,0
0.0038261,0.53125,0,0
0.0043856,0.5625,0,0
0.0049945,0.59375,0,0
0.0055565,0.625,0,0
0.0062624,0.65625,0,0
0.0062646,0.6875,0,0
0.0061424,0.71875,0,0
0.0034144,0.75,0,0
-0.0014164,0.78125,0,0
-0.0031637,0.8125,0,0
-0.0028334,0.84375,0,0
-0.0019495,0.875,0,0
-0.00088558,0.90625,0,0
-0.00034,0.9375,0,0
-6.9545e-05,0.96875,0,0
4.1357e-05,1,0,0
0.00024911,0,0.03125,0
-0.0015005,0.03125,0.03125,0
-0.002843,0.0625,0.03125,0
-0.0022425,0.09375,0.03125,0
-0.0010128,0.125,0.03125,0
-0.00085674,0.15625,0.03125,0
-0.00027149,0.1875,0.03125,0
-0.0023124,0.21875,0.03125,0
-0.0025422,0.25,0.03125,0
0.0076459,0.28125,0.03125,0
0.020994,0.3125,0.03125,0
0.031275,0.34375,0.03125,0
0.036876,0.375,0.03125,0
0.036152,0.40625,0.03125,0
0.029668,0.4375,0.03125,0
0.018739,0.46875,0.03125,0
0.004902,0.5,0.03125,0
-0.01042,0.53125,0.03125,0
-0.026273,0.5625,0.03125,0
-0.040675,0.59375,0.03125,0
-0.049964,0.625,0.03125,0
-0.050129,0.65625,0.03125,0
-0.038904,0.6875,0.03125,0
-0.019662,0.71875,0.03125,0
0.00081799,0.75,0.03125,0
0.014847,0.78125,0.03125,0
0.018835,0.8125,0.03125,0
0.014776,0.84375,0.03125,0
0.0084034,0.875,0.03125,0
0.0039556,0.90625,0.03125,0
0.0015361,0.9375,0.03125,0
0.00019246,0.96875,0.03125,0
-0.00026217,1,0.03125,0
0.00028435,0,0.0625,0
-0.0064866,0.03125,0.0625,0
-0.0092097,0.0625,0.0625,0
-0.006241,0.09375,0.0625,0
-0.0013741,0.125,0.0625,0
0.00022572,0.15625,0.0625,0
0.00063997,0.1875,0.0625,0
0.016092,0.21875,0.0625,0
0.046769,0.25,0.0625,0
0.077848,0.28125,0.0625,0
0.098772,0.3125,0.0625,0
0.104,0.34375,0.0625,0
0.095296,0.375,0.0625,0
0.07714,0.40625,0.0625,0
0.053858,0.4375,0.0625,0
0.028304,0.46875,0.0625,0
0.0014127,0.5,0.0625,0
-0.027289,0.53125,0.0625,0
-0.057431,0.5625,0.0625,0
-0.087025,0.59375,0.0625,0
-0.11198,0.625,0.0625,0
-0.12518,0.65625,0.0625,0
-0.11872,0.6875,0.0625,0
-0.089692,0.71875,0.0625,0
-0.046311,0.75,0.0625,0
-0.006324,0.78125,0.0625,0
0.01688,0.8125,0.0625,0
0.025669,0.84375,0.0625,0
0.02365,0.875,0.0625,0
0.015368,0.90625,0.0625,0
0.0081139,0.9375,0.0625,0
0.0031563,0.96875,0.0625,0
-0.0001459,1,0.0625,0
-0.00024818,0,0.09375,0
-0.015156,0.03125,0.09375,0
-0.016082,0.0625,0.09375,0
-0.0049768,0.09375,0.09375,0
0.0025017,0.125,0.09375,0
0.011371,0.15625,0.09375,0
0.044071,0.1875,0.09375,0
0.094973,0.21875,0.09375,0
0.14044,0.25,0.09375,0
0.16487,0.28125,0.09375,0
0.16573,0.3125,0.09375,0
0.14915,0.34375,0.09375,0
0.12311,0.375,0.09375,0
0.0936,0.40625,0.09375,0
0.063164,0.4375,0.09375,0
0.032184,0.46875,0.09375,0
0.00024132,0.5,0.09375,0
-0.032945,0.53125,0.09375,0
-0.06816,0.5625,0.09375,0
-0.10573,0.59375,0.09375,0
-0.14371,0.625,0.09375,0
-0.1765,0.65625,0.09375,0
-0.19367,0.6875,0.09375,0
-0.18303,0.71875,0.09375,0
-0.13925,0.75,0.09375,0
-0.073968,0.78125,0.09375,0
-0.015966,0.8125,0.09375,0
0.012461,0.84375,0.09375,0
0.022691,0.875,0.09375,0
0.023531,0.90625,0.09375,0
0.016115,0.9375,0.09375,0
0.0088681,0.96875,0.09375,0
0.00038124,1,0.09375,0
-0.0023358,0,0.125,0
-0.02789,0.03125,0.125,0
-0.016936,0.0625,0.125,0
0.0032039,0.09375,0.125,0
0.0222,0.125,0.125,0
0.068909,0.15625,0.125,0
0.13758,0.1875,0.125,0
0.19473,0.21875,0.125,0
0.22125,0.25,0.125,0
0.21738,0.28125,0.125,0
0.19395,0.3125,0.125,0
0.1621,0.34375,0.125,0
0.12828,0.375,0.125,0
0.094797,0.40625,0.125,0
0.062156,0.4375,0.125,0
