"v_sol","Points:0","Points:1","Points:2"
0.00031648,0,0,0
0.00079339,0.0625,0,0
-0.00062887,0.125,0,0
0.0094529,0.1875,0,0
-0.01764,0.25,0,0
-0.018098,0.3125,0,0
-0.00045377,0.375,0,0
0.0021972,0.4375,0,0
0.0036211,0.5,0,0
0.0026665,0.5625,0,0
0.0023196,0.625,0,0
0.00102,0.6875,0,0
0.0018952,0.75,0,0
0.0035976,0.8125,0,0
0.010127,0.875,0,0
-0.0045797,0.9375,0,0
0.0071032,1,0,0
-0.001039,0,0.0625,0
-0.0026007,0.0625,0.0625,0
-0.009915,0.125,0.0625,0
-0.0022039,0.1875,0.0625,0
0.0033053,0.25,0.0625,0
0.039094,0.3125,0.0625,0
0.077113,0.375,0.0625,0
0.065704,0.4375,0.0625,0
0.040158,0.5,0.0625,0
0.0085831,0.5625,0.0625,0
-0.022272,0.625,0.0625,0
-0.053156,0.6875,0.0625,0
-0.075208,0.75,0.0625,0
-0.072752,0.8125,0.0625,0
-0.022219,0.875,0.0625,0
0.029925,0.9375,0.0625,0
-0.0060727,1,0.0625,0
-0.0094307,0,0.125,0
-0.020877,0.0625,0.125,0
0.00018724,0.125,0.125,0
0.040745,0.1875,0.125,0
0.11772,0.25,0.125,0
0.14483,0.3125,0.125,0
0.12793,0.375,0.125,0
0.091759,0.4375,0.125,0
0.046677,0.5,0.125,0
0.0016264,0.5625,0.125,0
-0.044428,0.625,0.125,0
-0.090882,0.6875,0.125,0
-0.13561,0.75,0.125,0
-0.15828,0.8125,0.125,0
-0.12416,0.875,0.125,0
-0.0058803,0.9375,0.125,0
0.026712,1,0.125,0
-0.039696,0,0.1875,0
-0.015419,0.0625,0.1875,0
0.064374,0.125,0.1875,0
0.15872,0.1875,0.1875,0
0.20046,0.25,0.1875,0
0.18148,0.3125,0.1875,0
0.1393,0.375,0.1875,0
0.091515,0.4375,0.1875,0
0.043343,0.5,0.1875,0
-0.0049365,0.5625,0.1875,0
-0.05403,0.625,0.1875,0
-0.10431,0.6875,0.1875,0
-0.15635,0.75,0.1875,0
-0.2056,0.8125,0.1875,0
-0.21893,0.875,0.1875,0
-0.13471,0.9375,0.1875,0
0.069887,1,0.1875,0
-0.053127,0,0.25,0
0.036513,0.0625,0.25,0
0.16044,0.125,0.25,0
0.23498,0.1875,0.25,0
0.23294,0.25,0.25,0
0.18769,0.3125,0.25,0
0.14001,0.375,0.25,0
0.090899,0.4375,0.25,0
0.040997,0.5,0.25,0
