"v_sol","Points:0","Points:1","Points:2"
-1.2687e-06,0,0,0
-1.8862e-06,0.0078125,0,0
3.0199e-06,0.015625,0,0
1.1203e-05,0.023438,0,0
2.0355e-05,0.03125,0,0
2.9062e-05,0.039062,0,0
3.6373e-05,0.046875,0,0
4.1627e-05,0.054688,0,0
4.4447e-05,0.0625,0,0
4.476e-05,0.070312,0,0
4.2782e-05,0.078125,0,0
3.8972e-05,0.085938,0,0
3.3945e-05,0.09375,0,0
2.8382e-05,0.10156,0,0
2.2935e-05,0.10938,0,0
1.8161e-05,0.11719,0,0
1.4474e-05,0.125,0,0
1.213e-05,0.13281,0,0
1.1223e-05,0.14062,0,0
1.1697e-05,0.14844,0,0
1.3367e-05,0.15625,0,0
1.5937e-05,0.16406,0,0
1.9025e-05,0.17188,0,0
2.2199e-05,0.17969,0,0
2.5022e-05,0.1875,0,0
2.7096e-05,0.19531,0,0
2.8129e-05,0.20312,0,0
2.8e-05,0.21094,0,0
2.6619e-05,0.21875,0,0
2.3896e-05,0.22656,0,0
1.9938e-05,0.23438,0,0
1.4976e-05,0.24219,0,0
8.5459e-06,0.25,0,0
3.1466e-07,0.25781,0,0
-1.063e-05,0.26562,0,0
-2.506e-05,0.27344,0,0
-4.3523e-05,0.28125,0,0
-6.3749e-05,0.28906,0,0
-8.7144e-05,0.29688,0,0
-0.00011317,0.30469,0,0
-0.00014885,0.3125,0,0
-0.00019174,0.32031,0,0
-0.0002384,0.32812,0,0
-0.00029001,0.33594,0,0
-0.00034386,0.34375,0,0
-0.00039749,0.35156,0,0
-0.00045495,0.35938,0,0
-0.00051244,0.36719,0,0
-0.00056777,0.375,0,0
-0.00061887,0.38281,0,0
-0.00066367,0.39062,0,0
-0.00070025,0.39844,0,0
-0.00072696,0.40625,0,0
-0.00074251,0.41406,0,0
-0.00074603,0.42188,0,0
-0.00073704,0.42969,0,0
-0.00071543,0.4375,0,0
-0.0006814,0.44531,0,0
-0.00063534,0.45312,0,0
-0.00057786,0.46094,0,0
-0.00050965,0.46875,0,0
-0.0004315,0.47656,0,0
-0.00034426,0.48438,0,0
-0.00024877,0.49219,0,0
-0.00014704,0.5,0,0
-4.0905e-05,0.50781,0,0
8.4712e-05,0.51562,0,0
0.00020812,0.52344,0,0
0.00033074,0.53125,0,0
0.00045409,0.53906,0,0
0.00057485,0.54688,0,0
0.00069147,0.55469,0,0
0.00080149,0.5625,0,0
0.0009027,0.57031,0,0
0.00099276,0.57812,0,0
0.0010694,0.58594,0,0
0.0011305,0.59375,0,0
0.0011741,0.60156,0,0
0.0011989,0.60938,0,0
0.0012012,0.61719,0,0
0.0012002,0.625,0,0
0.0011385,0.63281,0,0
0.0010733,0.64062,0,0
0.0010053,0.64844,0,0
0.00090452,0.65625,0,0
0.00079136,0.66406,0,0
0.00066564,0.67188,0,0
0.00053201,0.67969,0,0
0.00039525,0.6875,0,0
0.00025815,0.69531,0,0
0.00012873,0.70312,0,0
-6.7649e-06,0.71094,0,0
-0.00012246,0.71875,0,0
-0.00020233,0.72656,0,0
-0.00028807,0.73438,0,0
-0.00036294,0.74219,0,0
-0.00042179,0.75,0,0
-0.00046873,0.75781,0,0
-0.00050211,0.76562,0,0
-0.0005209,0.77344,0,0
-0.00052447,0.78125,0,0
-0.00051282,0.78906,0,0
-0.00048692,0.79688,0,0
-0.00044895,0.80469,0,0
-0.00040215,0.8125,0,0
-0.00035031,0.82031,0,0
-0.00029722,0.82812,0,0
-0.00024616,0.83594,0,0
-0.00019914,0.84375,0,0
-0.00015773,0.85156,0,0
-0.00012246,0.85938,0,0
-9.3534e-05,0.86719,0,0
-7.0354e-05,0.875,0,0
-5.203e-05,0.88281,0,0
-3.7763e-05,0.89062,0,0
-2.6779e-05,0.89844,0,0
-1.8286e-05,0.90625,0,0
-1.1603e-05,0.91406,0,0
-6.1651e-06,0.92188,0,0
-1.5434e-06,0.92969,0,0
2.5426e-06,0.9375,0,0
6.2211e-06,0.94531,0,0
9.4566e-06,0.95312,0,0
1.2045e-05,0.96094,0,0
1.3593e-05,0.96875,0,0
1.3526e-05,0.97656,0,0
1.1052e-05,0.98438,0,0
6.1209e-06,0.99219,0,0
4.9833e-07,1,0,0
5.4744e-06,0,0.0078125,0
1.7456e-05,0.0078125,0.0078125,0
-9.7354e-06,0.015625,0.0078125,0
-5.4314e-05,0.023438,0.0078125,0
-0.00010317,0.03125,0.0078125,0
-0.00014935,0.039062,0.0078125,0
-0.00018804,0.046875,0.0078125,0
-0.00021577,0.054688,0.0078125,0
-0.00023055,0.0625,0.0078125,0
-0.00023196,0.070312,0.0078125,0
-0.00022122,0.078125,0.0078125,0
-0.00020081,0.085938,0.0078125,0
-0.00017407,0.09375,0.0078125,0
-0.00014466,0.10156,0.0078125,0
-0.00011606,0.10938,0.0078125,0
-9.1195e-05,0.11719,0.0078125,0
-7.2225e-05,0.125,0.0078125,0
-6.0449e-05,0.13281,0.0078125,0
-5.6322e-05,0.14062,0.0078125,0
-5.9531e-05,0.14844,0.0078125,0
-6.9096e-05,0.15625,0.0078125,0
-8.3465e-05,0.16406,0.0078125,0
-0.00010065,0.17188,0.0078125,0
-0.00011838,0.17969,0.0078125,0
-0.00013437,0.1875,0.0078125,0
-0.00014658,0.19531,0.0078125,0
-0.0001535,0.20312,0.0078125,0
-0.00015445,0.21094,0.0078125,0
-0.00014919,0.21875,0.0078125,0
-0.00013777,0.22656,0.0078125,0
-0.0001208,0.23438,0.0078125,0
-9.8469e-05,0.24219,0.0078125,0
-6.9094e-05,0.25,0.0078125,0
-3.1305e-05,0.25781,0.0078125,0
