"u_sol","Points:0","Points:1","Points:2"
1.0623e-06,0,0,0
-2.264e-06,0.0078125,0,0
-1.2863e-05,0.015625,0,0
-2.2139e-05,0.023438,0,0
-2.7711e-05,0.03125,0,0
-2.881e-05,0.039062,0,0
-2.5231e-05,0.046875,0,0
-1.7213e-05,0.054688,0,0
-5.4483e-06,0.0625,0,0
8.9635e-06,0.070312,0,0
2.4677e-05,0.078125,0,0
4.0329e-05,0.085938,0,0
5.4761e-05,0.09375,0,0
6.7194e-05,0.10156,0,0
7.7292e-05,0.10938,0,0
8.5151e-05,0.11719,0,0
9.1209e-05,0.125,0,0
9.613e-05,0.13281,0,0
0.0001007,0.14062,0,0
0.00010572,0.14844,0,0
0.00011198,0.15625,0,0
0.00012021,0.16406,0,0
0.00013104,0.17188,0,0
0.00014503,0.17969,0,0
0.00016265,0.1875,0,0
0.00018428,0.19531,0,0
0.00021024,0.20312,0,0
0.00024084,0.21094,0,0
0.00027648,0.21875,0,0
0.00031772,0.22656,0,0
0.00036541,0.23438,0,0
0.00042073,0.24219,0,0
0.00048518,0.25,0,0
0.0005605,0.25781,0,0
0.00064857,0.26562,0,0
0.00075132,0.27344,0,0
0.00087075,0.28125,0,0
0.0010089,0.28906,0,0
0.0011677,0.29688,0,0
0.0013486,0.30469,0,0
0.0015526,0.3125,0,0
0.0017803,0.32031,0,0
0.0020318,0.32812,0,0
0.002305,0.33594,0,0
0.0025947,0.34375,0,0
0.0028918,0.35156,0,0
0.0031848,0.35938,0,0
0.0034617,0.36719,0,0
0.0037097,0.375,0,0
0.0039128,0.38281,0,0
0.0040501,0.39062,0,0
0.0040961,0.39844,0,0
0.0040238,0.40625,0,0
0.0038083,0.41406,0,0
0.0034315,0.42188,0,0
0.0028839,0.42969,0,0
0.0021663,0.4375,0,0
0.0012891,0.44531,0,0
0.0002718,0.45312,0,0
-0.0008588,0.46094,0,0
-0.0020698,0.46875,0,0
-0.0033238,0.47656,0,0
-0.0045798,0.48438,0,0
-0.0057942,0.49219,0,0
-0.0069219,0.5,0,0
-0.0079171,0.50781,0,0
-0.0087343,0.51562,0,0
-0.0093295,0.52344,0,0
-0.0096618,0.53125,0,0
-0.0096958,0.53906,0,0
-0.0094034,0.54688,0,0
-0.0087672,0.55469,0,0
-0.007783,0.5625,0,0
-0.0064627,0.57031,0,0
-0.0048368,0.57812,0,0
-0.0029548,0.58594,0,0
-0.00088561,0.59375,0,0
0.001286,0.60156,0,0
0.0034636,0.60938,0,0
0.0055459,0.61719,0,0
0.0074352,0.625,0,0
0.0090455,0.63281,0,0
0.01031,0.64062,0,0
0.011188,0.64844,0,0
0.011666,0.65625,0,0
0.011756,0.66406,0,0
