"v_sol","Points:0","Points:1","Points:2"
-1.0489e-06,0,0,0
-5.961e-06,0.0078125,0,0
-5.0239e-06,0.015625,0,0
4.2265e-07,0.023438,0,0
8.2593e-06,0.03125,0,0
1.7052e-05,0.039062,0,0
2.5716e-05,0.046875,0,0
3.3319e-05,0.054688,0,0
3.9148e-05,0.0625,0,0
4.2742e-05,0.070312,0,0
4.396e-05,0.078125,0,0
4.2973e-05,0.085938,0,0
4.0213e-05,0.09375,0,0
3.6282e-05,0.10156,0,0
3.1842e-05,0.10938,0,0
2.7516e-05,0.11719,0,0
2.3817e-05,0.125,0,0
2.1106e-05,0.13281,0,0
1.9585e-05,0.14062,0,0
1.931e-05,0.14844,0,0
2.0212e-05,0.15625,0,0
2.2123e-05,0.16406,0,0
2.4803e-05,0.17188,0,0
2.7959e-05,0.17969,0,0
3.1268e-05,0.1875,0,0
3.4402e-05,0.19531,0,0
3.7063e-05,0.20312,0,0
3.9008e-05,0.21094,0,0
4.0068e-05,0.21875,0,0
4.0147e-05,0.22656,0,0
3.9176e-05,0.23438,0,0
3.7046e-05,0.24219,0,0
3.3536e-05,0.25,0,0
2.8259e-05,0.25781,0,0
2.0668e-05,0.26562,0,0
1.0082e-05,0.27344,0,0
-4.2701e-06,0.28125,0,0
-2.319e-05,0.28906,0,0
-4.7474e-05,0.29688,0,0
-7.7944e-05,0.30469,0,0
-0.00011551,0.3125,0,0
-0.00016099,0.32031,0,0
-0.00021477,0.32812,0,0
-0.00027681,0.33594,0,0
-0.00034691,0.34375,0,0
-0.00042461,0.35156,0,0
-0.00050855,0.35938,0,0
-0.00059614,0.36719,0,0
-0.00068389,0.375,0,0
-0.00076798,0.38281,0,0
-0.00084467,0.39062,0,0
-0.00091052,0.39844,0,0
-0.00096254,0.40625,0,0
-0.00099821,0.41406,0,0
-0.0010157,0.42188,0,0
-0.0010136,0.42969,0,0
-0.00099159,0.4375,0,0
-0.00094951,0.44531,0,0
-0.00088785,0.45312,0,0
-0.00080744,0.46094,0,0
-0.0007093,0.46875,0,0
-0.00059463,0.47656,0,0
-0.00046469,0.48438,0,0
-0.00032086,0.49219,0,0
-0.00016463,0.5,0,0
2.3111e-06,0.50781,0,0
0.00017804,0.51562,0,0
0.00036025,0.52344,0,0
0.00054623,0.53125,0,0
0.00073275,0.53906,0,0
0.00091606,0.54688,0,0
0.0010919,0.55469,0,0
0.0012555,0.5625,0,0
0.0014018,0.57031,0,0
0.0015258,0.57812,0,0
0.0016225,0.58594,0,0
0.0016873,0.59375,0,0
0.0017166,0.60156,0,0
0.0017079,0.60938,0,0
0.0016602,0.61719,0,0
0.0015742,0.625,0,0
0.0014526,0.63281,0,0
0.0012999,0.64062,0,0
0.0011224,0.64844,0,0
0.00092759,0.65625,0,0
0.00072373,0.66406,0,0
0.00051902,0.67188,0,0
0.00032086,0.67969,0,0
0.00013512,0.6875,0,0
-3.4281e-05,0.69531,0,0
-0.00018558,0.70312,0,0
-0.00031892,0.71094,0,0
-0.00043585,0.71875,0,0
-0.00053839,0.72656,0,0
-0.00062802,0.73438,0,0
-0.00070464,0.74219,0,0
-0.00076587,0.75,0,0
-0.00080705,0.75781,0,0
-0.00082226,0.76562,0,0
-0.00080647,0.77344,0,0
-0.000758,0.78125,0,0
-0.00068034,0.78906,0,0
-0.00058211,0.79688,0,0
-0.00047493,0.80469,0,0
-0.00037019,0.8125,0,0
-0.00027636,0.82031,0,0
-0.00019798,0.82812,0,0
-0.00013613,0.83594,0,0
-8.9618e-05,0.84375,0,0
-5.6083e-05,0.85156,0,0
-3.2873e-05,0.85938,0,0
-1.7489e-05,0.86719,0,0
-7.7546e-06,0.875,0,0
-1.8481e-06,0.88281,0,0
1.7154e-06,0.89062,0,0
4.0909e-06,0.89844,0,0
6.1108e-06,0.90625,0,0
8.2995e-06,0.91406,0,0
1.0897e-05,0.92188,0,0
1.3894e-05,0.92969,0,0
1.7066e-05,0.9375,0,0
2.0025e-05,0.94531,0,0
2.2254e-05,0.95312,0,0
2.3186e-05,0.96094,0,0
2.2217e-05,0.96875,0,0
1.8856e-05,0.97656,0,0
1.2744e-05,0.98438,0,0
4.4914e-06,0.99219,0,0
-7.9881e-07,1,0,0
2.1828e-06,0,0.0078125,0
