"u_sol","Points:0","Points:1","Points:2"
1.2837e-06,0,0,0
-5.5423e-06,0.0078125,0,0
-1.6538e-05,0.015625,0,0
-2.2175e-05,0.023438,0,0
-2.227e-05,0.03125,0,0
-1.714e-05,0.039062,0,0
-7.5089e-06,0.046875,0,0
5.6217e-06,0.054688,0,0
2.095e-05,0.0625,0,0
3.7023e-05,0.070312,0,0
5.2438e-05,0.078125,0,0
6.6051e-05,0.085938,0,0
7.7117e-05,0.09375,0,0
8.5354e-05,0.10156,0,0
9.0918e-05,0.10938,0,0
9.4313e-05,0.11719,0,0
9.6281e-05,0.125,0,0
9.7691e-05,0.13281,0,0
9.9444e-05,0.14062,0,0
0.00010242,0.14844,0,0
0.0001074,0.15625,0,0
0.00011511,0.16406,0,0
0.00012608,0.17188,0,0
0.00014073,0.17969,0,0
0.00015929,0.1875,0,0
0.00018182,0.19531,0,0
0.00020835,0.20312,0,0
0.00023887,0.21094,0,0
0.00027357,0.21875,0,0
0.00031288,0.22656,0,0
0.00035759,0.23438,0,0
0.00040869,0.24219,0,0
0.00046738,0.25,0,0
0.0005351,0.25781,0,0
0.00061319,0.26562,0,0
0.00070256,0.27344,0,0
0.00080426,0.28125,0,0
0.00091923,0.28906,0,0
0.0010484,0.29688,0,0
0.0011909,0.30469,0,0
0.0013457,0.3125,0,0
0.0015129,0.32031,0,0
0.0016897,0.32812,0,0
0.0018733,0.33594,0,0
0.0020588,0.34375,0,0
0.0022358,0.35156,0,0
0.0023954,0.35938,0,0
0.0025304,0.36719,0,0
0.0026299,0.375,0,0
0.0026837,0.38281,0,0
0.0026818,0.39062,0,0
0.0026153,0.39844,0,0
0.0024773,0.40625,0,0
0.0022629,0.41406,0,0
0.0019698,0.42188,0,0
0.0015986,0.42969,0,0
0.0011523,0.4375,0,0
0.00063663,0.44531,0,0
5.9975e-05,0.45312,0,0
-0.00056706,0.46094,0,0
-0.0012316,0.46875,0,0
-0.0019189,0.47656,0,0
-0.0026123,0.48438,0,0
-0.0032938,0.49219,0,0
-0.0039431,0.5,0,0
-0.0045352,0.50781,0,0
-0.0050591,0.51562,0,0
-0.0054952,0.52344,0,0
-0.0058105,0.53125,0,0
-0.0059831,0.53906,0,0
-0.0059923,0.54688,0,0
-0.0058213,0.55469,0,0
-0.0054583,0.5625,0,0
-0.0048989,0.57031,0,0
-0.0041475,0.57812,0,0
-0.0032182,0.58594,0,0
-0.0021366,0.59375,0,0
-0.00093785,0.60156,0,0
0.00033134,0.60938,0,0
0.0016255,0.61719,0,0
0.0028649,0.625,0,0
0.0040186,0.63281,0,0
0.0050534,0.64062,0,0
0.0058928,0.64844,0,0
0.006521,0.65625,0,0
0.0069287,0.66406,0,0
0.0071143,0.67188,0,0
0.0070931,0.67969,0,0
0.0068884,0.6875,0,0
0.0065323,0.69531,0,0
0.0060553,0.70312,0,0
0.005501,0.71094,0,0
0.0049046,0.71875,0,0
0.0042717,0.72656,0,0
0.003629,0.73438,0,0
0.0030027,0.74219,0,0
0.0024029,0.75,0,0
0.0018449,0.75781,0,0
0.0013406,0.76562,0,0
0.00089895,0.77344,0,0
0.00052672,0.78125,0,0
0.00022704,0.78906,0,0
-9.8658e-07,0.79688,0,0
-0.00016234,0.80469,0,0
-0.00026547,0.8125,0,0
-0.00032114,0.82031,0,0
-0.00034086,0.82812,0,0
-0.00033539,0.83594,0,0
-0.00031412,0.84375,0,0
-0.00028446,0.85156,0,0
-0.00025154,0.85938,0,0
-0.00021875,0.86719,0,0
-0.00018806,0.875,0,0
-0.00016056,0.88281,0,0
-0.00013666,0.89062,0,0
-0.00011633,0.89844,0,0
-9.9316e-05,0.90625,0,0
-8.5165e-05,0.91406,0,0
-7.333e-05,0.92188,0,0
-6.3198e-05,0.92969,0,0
-5.4138e-05,0.9375,0,0
-4.5552e-05,0.94531,0,0
-3.6916e-05,0.95312,0,0
-2.7875e-05,0.96094,0,0
-1.8274e-05,0.96875,0,0
-8.5332e-06,0.97656,0,0
4.9421e-07,0.98438,0,0
4.3487e-06,0.99219,0,0
4.8538e-07,1,0,0
2.0215e-06,0,0.0078125,0
-1.773e-05,0.0078125,0.0078125,0
-1.241e-05,0.015625,0.0078125,0
7.4991e-05,0.023438,0.0078125,0
0.00026524,0.03125,0.0078125,0
0.00056034,0.039062,0.0078125,0
0.00094894,0.046875,0.0078125,0
0.0014105,0.054688,0.0078125,0
0.0019185,0.0625,0.0078125,0
0.0024438,0.070312,0.0078125,0
0.0029581,0.078125,0.0078125,0
0.0034373,0.085938,0.0078125,0
0.0038637,0.09375,0.0078125,0
0.0042271,0.10156,0.0078125,0
0.0045253,0.10938,0.0078125,0
0.0047631,0.11719,0.0078125,0
0.0049511,0.125,0.0078125,0
0.0051034,0.13281,0.0078125,0
0.0052364,0.14062,0.0078125,0
0.0053664,0.14844,0.0078125,0
0.0055083,0.15625,0.0078125,0
0.0056739,0.16406,0.0078125,0
0.0058713,0.17188,0.0078125,0
0.0061031,0.17969,0.0078125,0
0.0063673,0.1875,0.0078125,0
0.0066564,0.19531,0.0078125,0
0.0069591,0.20312,0.0078125,0
0.0072612,0.21094,0.0078125,0
0.0075473,0.21875,0.0078125,0
0.0078015,0.22656,0.0078125,0
0.0080082,0.23438,0.0078125,0
0.0081514,0.24219,0.0078125,0
0.0082126,0.25,0.0078125,0
0.0081695,0.25781,0.0078125,0
0.0079951,0.26562,0.0078125,0
0.0076562,0.27344,0.0078125,0
0.0071122,0.28125,0.0078125,0
0.0063183,0.28906,0.0078125,0
0.0052273,0.29688,0.0078125,0
0.0037898,0.30469,0.0078125,0
0.0019472,0.3125,0.0078125,0
-0.00036475,0.32031,0.0078125,0
-0.0032001,0.32812,0.0078125,0
-0.0066056,0.33594,0.0078125,0
-0.010618,0.34375,0.0078125,0
-0.015258,0.35156,0.0078125,0
-0.020536,0.35938,0.0078125,0
-0.026443,0.36719,0.0078125,0
-0.032949,0.375,0.0078125,0
-0.040001,0.38281,0.0078125,0
-0.047527,0.39062,0.0078125,0
-0.055434,0.39844,0.0078125,0
-0.063616,0.40625,0.0078125,0
-0.071954,0.41406,0.0078125,0
-0.080319,0.42188,0.0078125,0
-0.08858,0.42969,0.0078125,0
-0.096603,0.4375,0.0078125,0
-0.10426,0.44531,0.0078125,0
-0.11142,0.45312,0.0078125,0
-0.11796,0.46094,0.0078125,0
-0.12377,0.46875,0.0078125,0
-0.12875,0.47656,0.0078125,0
-0.13279,0.48438,0.0078125,0
-0.13581,0.49219,0.0078125,0
-0.13772,0.5,0.0078125,0
-0.13845,0.50781,0.0078125,0
-0.13794,0.51562,0.0078125,0
-0.13612,0.52344,0.0078125,0
-0.13297,0.53125,0.0078125,0
-0.12846,0.53906,0.0078125,0
-0.12261,0.54688,0.0078125,0
-0.11543,0.55469,0.0078125,0
-0.10697,0.5625,0.0078125,0
-0.097306,0.57031,0.0078125,0
-0.086538,0.57812,0.0078125,0
-0.074803,0.58594,0.0078125,0
-0.062268,0.59375,0.0078125,0
-0.049129,0.60156,0.0078125,0
-0.035605,0.60938,0.0078125,0
-0.021943,0.61719,0.0078125,0
-0.0083789,0.625,0.0078125,0
0.0047987,0.63281,0.0078125,0
0.017324,0.64062,0.0078125,0
0.029005,0.64844,0.0078125,0
0.039626,0.65625,0.0078125,0
0.049009,0.66406,0.0078125,0
0.057031,0.67188,0.0078125,0
0.063609,0.67969,0.0078125,0
0.068711,0.6875,0.0078125,0
0.072347,0.69531,0.0078125,0
0.074567,0.70312,0.0078125,0
0.07544,0.71094,0.0078125,0
0.075059,0.71875,0.0078125,0
0.073574,0.72656,0.0078125,0
0.071108,0.73438,0.0078125,0
0.067768,0.74219,0.0078125,0
0.063683,0.75,0.0078125,0
0.058983,0.75781,0.0078125,0
0.053802,0.76562,0.0078125,0
0.048288,0.77344,0.0078125,0
0.042598,0.78125,0.0078125,0
0.036896,0.78906,0.0078125,0
0.031346,0.79688,0.0078125,0
0.026101,0.80469,0.0078125,0
0.021284,0.8125,0.0078125,0
0.016987,0.82031,0.0078125,0
0.013257,0.82812,0.0078125,0
0.010103,0.83594,0.0078125,0
0.0075017,0.84375,0.0078125,0
0.0054029,0.85156,0.0078125,0
0.0037442,0.85938,0.0078125,0
0.0024575,0.86719,0.0078125,0
0.0014761,0.875,0.0078125,0
0.00073963,0.88281,0.0078125,0
0.000196,0.89062,0.0078125,0
-0.00019761,0.89844,0.0078125,0
-0.00047498,0.90625,0.0078125,0
-0.00066146,0.91406,0.0078125,0
-0.00077521,0.92188,0.0078125,0
-0.00082857,0.92969,0.0078125,0
-0.00082973,0.9375,0.0078125,0
-0.00078448,0.94531,0.0078125,0
-0.00069803,0.95312,0.0078125,0
-0.00057685,0.96094,0.0078125,0
-0.00043065,0.96875,0.0078125,0
-0.00027446,0.97656,0.0078125,0
-0.00013061,0.98438,0.0078125,0
-2.9426e-05,0.99219,0.0078125,0
6.0466e-06,1,0.0078125,0
-2.056e-06,0,0.015625,0
5.3674e-06,0.0078125,0.015625,0
8.7164e-05,0.015625,0.015625,0
0.00030454,0.023438,0.015625,0
0.00068407,0.03125,0.015625,0
0.0012277,0.039062,0.015625,0
0.0019169,0.046875,0.015625,0
0.0027184,0.054688,0.015625,0
0.0035897,0.0625,0.015625,0
0.0044849,0.070312,0.015625,0
0.0053597,0.078125,0.015625,0
0.0061762,0.085938,0.015625,0
0.0069064,0.09375,0.015625,0
0.0075336,0.10156,0.015625,0
0.0080532,0.10938,0.015625,0
0.0084713,0.11719,0.015625,0
0.008803,0.125,0.015625,0
0.0090693,0.13281,0.015625,0
0.0092942,0.14062,0.015625,0
0.0095021,0.14844,0.015625,0
0.0097145,0.15625,0.015625,0
0.0099481,0.16406,0.015625,0
0.010212,0.17188,0.015625,0
0.010507,0.17969,0.015625,0
0.010825,0.1875,0.015625,0
0.011148,0.19531,0.015625,0
0.011451,0.20312,0.015625,0
0.011703,0.21094,0.015625,0
0.011869,0.21875,0.015625,0
0.011911,0.22656,0.015625,0
0.011789,0.23438,0.015625,0
0.011458,0.24219,0.015625,0
0.010866,0.25,0.015625,0
0.0099523,0.25781,0.015625,0
0.0086481,0.26562,0.015625,0
0.0068764,0.27344,0.015625,0
0.0045512,0.28125,0.015625,0
0.0015687,0.28906,0.015625,0
-0.0021788,0.29688,0.015625,0
-0.0067919,0.30469,0.015625,0
-0.012352,0.3125,0.015625,0
-0.018922,0.32031,0.015625,0
-0.026554,0.32812,0.015625,0
-0.03527,0.33594,0.015625,0
-0.045052,0.34375,0.015625,0
-0.055842,0.35156,0.015625,0
-0.067537,0.35938,0.015625,0
-0.079994,0.36719,0.015625,0
-0.093035,0.375,0.015625,0
-0.10646,0.38281,0.015625,0
-0.12005,0.39062,0.015625,0
-0.13358,0.39844,0.015625,0
-0.14683,0.40625,0.015625,0
-0.1596,0.41406,0.015625,0
-0.17171,0.42188,0.015625,0
-0.18299,0.42969,0.015625,0
-0.19329,0.4375,0.015625,0
-0.20249,0.44531,0.015625,0
-0.2105,0.45312,0.015625,0
-0.21724,0.46094,0.015625,0
-0.22264,0.46875,0.015625,0
-0.22665,0.47656,0.015625,0
-0.22923,0.48438,0.015625,0
-0.23035,0.49219,0.015625,0
-0.22999,0.5,0.015625,0
-0.22814,0.50781,0.015625,0
-0.22481,0.51562,0.015625,0
-0.21999,0.52344,0.015625,0
-0.21371,0.53125,0.015625,0
-0.20599,0.53906,0.015625,0
-0.19685,0.54688,0.015625,0
-0.18635,0.55469,0.015625,0
-0.17453,0.5625,0.015625,0
-0.16149,0.57031,0.015625,0
-0.14732,0.57812,0.015625,0
-0.13214,0.58594,0.015625,0
-0.1161,0.59375,0.015625,0
-0.09937,0.60156,0.015625,0
-0.082141,0.60938,0.015625,0
-0.064627,0.61719,0.015625,0
-0.047069,0.625,0.015625,0
-0.029682,0.63281,0.015625,0
-0.012701,0.64062,0.015625,0
0.0036086,0.64844,0.015625,0
0.019037,0.65625,0.015625,0
0.03339,0.66406,0.015625,0
0.046496,0.67188,0.015625,0
0.058218,0.67969,0.015625,0
0.068453,0.6875,0.015625,0
0.077131,0.69531,0.015625,0
0.084212,0.70312,0.015625,0
0.089695,0.71094,0.015625,0
0.093593,0.71875,0.015625,0
0.095894,0.72656,0.015625,0
0.096647,0.73438,0.015625,0
0.095947,0.74219,0.015625,0
0.09386,0.75,0.015625,0
0.090464,0.75781,0.015625,0
0.085861,0.76562,0.015625,0
0.080183,0.77344,0.015625,0
0.073598,0.78125,0.015625,0
0.066318,0.78906,0.015625,0
0.058597,0.79688,0.015625,0
0.05072,0.80469,0.015625,0
0.042976,0.8125,0.015625,0
0.03563,0.82031,0.015625,0
0.028898,0.82812,0.015625,0
0.022923,0.83594,0.015625,0
0.017778,0.84375,0.015625,0
0.013465,0.85156,0.015625,0
0.0099345,0.85938,0.015625,0
0.0071049,0.86719,0.015625,0
0.0048787,0.875,0.015625,0
0.0031558,0.88281,0.015625,0
0.0018421,0.89062,0.015625,0
0.00085602,0.89844,0.015625,0
0.00012977,0.90625,0.015625,0
-0.00039009,0.91406,0.015625,0
-0.00074413,0.92188,0.015625,0
-0.00096217,0.92969,0.015625,0
-0.0010659,0.9375,0.015625,0
-0.0010719,0.94531,0.015625,0
-0.0009946,0.95312,0.015625,0
-0.00084911,0.96094,0.015625,0
-0.00065426,0.96875,0.015625,0
-0.00043483,0.97656,0.015625,0
-0.0002237,0.98438,0.015625,0
-5.8924e-05,0.99219,0.015625,0
1.0824e-05,1,0.015625,0
-8.1842e-06,0,0.023438,0
3.8617e-05,0.0078125,0.023438,0
0.00021952,0.015625,0.023438,0
0.00058197,0.023438,0.023438,0
0.0011477,0.03125,0.023438,0
0.0019127,0.039062,0.023438,0
0.0028502,0.046875,0.023438,0
0.0039166,0.054688,0.023438,0
0.0050578,0.0625,0.023438,0
0.0062166,0.070312,0.023438,0
0.007339,0.078125,0.023438,0
0.0083798,0.085938,0.023438,0
0.0093059,0.09375,0.023438,0
0.010098,0.10156,0.023438,0
0.010751,0.10938,0.023438,0
0.011273,0.11719,0.023438,0
0.01168,0.125,0.023438,0
0.011998,0.13281,0.023438,0
0.012251,0.14062,0.023438,0
0.012468,0.14844,0.023438,0
0.012669,0.15625,0.023438,0
0.01287,0.16406,0.023438,0
0.013075,0.17188,0.023438,0
0.013276,0.17969,0.023438,0
0.013452,0.1875,0.023438,0
0.013569,0.19531,0.023438,0
0.013582,0.20312,0.023438,0
0.013437,0.21094,0.023438,0
0.013071,0.21875,0.023438,0
0.012415,0.22656,0.023438,0
0.011391,0.23438,0.023438,0
0.0099126,0.24219,0.023438,0
0.0078852,0.25,0.023438,0
0.0052006,0.25781,0.023438,0
0.0017276,0.26562,0.023438,0
-0.0026792,0.27344,0.023438,0
-0.0081586,0.28125,0.023438,0
-0.01483,0.28906,0.023438,0
-0.022802,0.29688,0.023438,0
-0.032164,0.30469,0.023438,0
-0.042963,0.3125,0.023438,0
-0.055192,0.32031,0.023438,0
-0.068775,0.32812,0.023438,0
-0.083571,0.33594,0.023438,0
-0.099382,0.34375,0.023438,0
-0.11595,0.35156,0.023438,0
-0.13299,0.35938,0.023438,0
-0.1502,0.36719,0.023438,0
-0.16727,0.375,0.023438,0
-0.18391,0.38281,0.023438,0
-0.19989,0.39062,0.023438,0
-0.21498,0.39844,0.023438,0
-0.22903,0.40625,0.023438,0
-0.2419,0.41406,0.023438,0
-0.25351,0.42188,0.023438,0
-0.2638,0.42969,0.023438,0
-0.27274,0.4375,0.023438,0
-0.28031,0.44531,0.023438,0
-0.28652,0.45312,0.023438,0
-0.29138,0.46094,0.023438,0
-0.2949,0.46875,0.023438,0
-0.29709,0.47656,0.023438,0
-0.29798,0.48438,0.023438,0
-0.29757,0.49219,0.023438,0
-0.29587,0.5,0.023438,0
-0.2929,0.50781,0.023438,0
-0.28864,0.51562,0.023438,0
-0.28309,0.52344,0.023438,0
-0.27625,0.53125,0.023438,0
-0.26812,0.53906,0.023438,0
-0.25868,0.54688,0.023438,0
