"u_sol","Points:0","Points:1","Points:2"
-0.0010376,0,0,0
0.0015151,0.0625,0,0
-0.0024505,0.125,0,0
0.0014055,0.1875,0,0
0.034056,0.25,0,0
0.054,0.3125,0,0
0.033959,0.375,0,0
-0.0021213,0.4375,0,0
-0.0061462,0.5,0,0
0.035026,0.5625,0,0
0.096549,0.625,0,0
0.1105,0.6875,0,0
0.047166,0.75,0,0
0.0024393,0.8125,0,0
-0.00073266,0.875,0,0
-0.00096015,0.9375,0,0
0.00042602,1,0,0
-0.00030521,0,0.0625,0
0.0054623,0.0625,0.0625,0
0.020293,0.125,0.0625,0
0.020649,0.1875,0.0625,0
-0.053149,0.25,0.0625,0
-0.17814,0.3125,0.0625,0
-0.28239,0.375,0.0625,0
-0.33351,0.4375,0.0625,0
-0.33753,0.5,0.0625,0
-0.29458,0.5625,0.0625,0
-0.20183,0.625,0.0625,0
-0.068043,0.6875,0.0625,0
0.044664,0.75,0.0625,0
0.050057,0.8125,0.0625,0
0.014155,0.875,0.0625,0
0.002616,0.9375,0.0625,0
-0.00091026,1,0.0625,0
-0.0030027,0,0.125,0
0.018249,0.0625,0.125,0
-0.0057142,0.125,0.125,0
-0.12912,0.1875,0.125,0
-0.2866,0.25,0.125,0
-0.38879,0.3125,0.125,0
-0.43307,0.375,0.125,0
-0.4501,0.4375,0.125,0
-0.45613,0.5,0.125,0
-0.45781,0.5625,0.125,0
-0.44171,0.625,0.125,0
-0.36557,0.6875,0.125,0
-0.19769,0.75,0.125,0
-0.012769,0.8125,0.125,0
0.033219,0.875,0.125,0
0.0063923,0.9375,0.125,0
0.00035624,1,0.125,0
0.0062776,0,0.1875,0
-0.0063619,0.0625,0.1875,0
-0.1225,0.125,0.1875,0
-0.27479,0.1875,0.1875,0
-0.35819,0.25,0.1875,0
-0.37247,0.3125,0.1875,0
-0.36536,0.375,0.1875,0
-0.36016,0.4375,0.1875,0
-0.36228,0.5,0.1875,0
-0.37136,0.5625,0.1875,0
-0.39211,0.625,0.1875,0
-0.41917,0.6875,0.1875,0
-0.3862,0.75,0.1875,0
-0.2184,0.8125,0.1875,0
-0.0095326,0.875,0.1875,0
0.019521,0.9375,0.1875,0
-0.0080349,1,0.1875,0
0.011297,0,0.25,0
-0.066275,0.0625,0.25,0
-0.2022,0.125,0.25,0
-0.28741,0.1875,0.25,0
-0.29494,0.25,0.25,0
-0.2833,0.3125,0.25,0
-0.28669,0.375,0.25,0
-0.2973,0.4375,0.25,0
-0.30522,0.5,0.25,0
-0.30847,0.5625,0.25,0
-0.305,0.625,0.25,0
-0.31032,0.6875,0.25,0
-0.3507,0.75,0.25,0
-0.34453,0.8125,0.25,0
-0.16425,0.875,0.25,0
0.019028,0.9375,0.25,0
-0.0019519,1,0.25,0
0.0085301,0,0.3125,0
-0.095525,0.0625,0.3125,0
-0.19523,0.125,0.3125,0
-0.22125,0.1875,0.3125,0
-0.212,0.25,0.3125,0
-0.21932,0.3125,0.3125,0
-0.23393,0.375,0.3125,0
-0.24064,0.4375,0.3125,0
-0.24601,0.5,0.3125,0
-0.25462,0.5625,0.3125,0
-0.26683,0.625,0.3125,0
-0.26097,0.6875,0.3125,0
-0.2457,0.75,0.3125,0
-0.28417,0.8125,0.3125,0
-0.26334,0.875,0.3125,0
-0.049633,0.9375,0.3125,0
0.033004,1,0.3125,0
0.0061591,0,0.375,0
-0.081335,0.0625,0.375,0
-0.13967,0.125,0.375,0
-0.14475,0.1875,0.375,0
-0.14788,0.25,0.375,0
-0.16221,0.3125,0.375,0
-0.16866,0.375,0.375,0
-0.17333,0.4375,0.375,0
-0.18086,0.5,0.375,0
-0.18267,0.5625,0.375,0
-0.18517,0.625,0.375,0
-0.2078,0.6875,0.375,0
-0.21016,0.75,0.375,0
-0.19123,0.8125,0.375,0
-0.23126,0.875,0.375,0
-0.12595,0.9375,0.375,0
0.048777,1,0.375,0
0.0056533,0,0.4375,0
-0.042528,0.0625,0.4375,0
-0.072671,0.125,0.4375,0
-0.077643,0.1875,0.4375,0
-0.086576,0.25,0.4375,0
-0.095605,0.3125,0.4375,0
-0.10087,0.375,0.4375,0
-0.10934,0.4375,0.4375,0
-0.11813,0.5,0.4375,0
-0.13045,0.5625,0.4375,0
-0.13193,0.625,0.4375,0
-0.12408,0.6875,0.4375,0
-0.14986,0.75,0.4375,0
-0.1473,0.8125,0.4375,0
-0.15141,0.875,0.4375,0
-0.15619,0.9375,0.4375,0
-0.0017145,1,0.4375,0
0.0072627,0,0.5,0
0.0015389,0.0625,0.5,0
-0.010298,0.125,0.5,0
-0.016371,0.1875,0.5,0
-0.023464,0.25,0.5,0
-0.029442,0.3125,0.5,0
-0.034254,0.375,0.5,0
-0.042752,0.4375,0.5,0
-0.046819,0.5,0.5,0
-0.047503,0.5625,0.5,0
-0.070034,0.625,0.5,0
-0.074136,0.6875,0.5,0
-0.076453,0.75,0.5,0
-0.098282,0.8125,0.5,0
-0.09078,0.875,0.5,0
-0.11724,0.9375,0.5,0
-0.020912,1,0.5,0
0.0045944,0,0.5625,0
0.047251,0.0625,0.5625,0
0.050084,0.125,0.5625,0
0.044444,0.1875,0.5625,0
0.038607,0.25,0.5625,0
0.038101,0.3125,0.5625,0
0.031466,0.375,0.5625,0
0.030863,0.4375,0.5625,0
0.021978,0.5,0.5625,0
0.013366,0.5625,0.5625,0
0.0086703,0.625,0.5625,0
-0.010159,0.6875,0.5625,0
-0.016213,0.75,0.5625,0
-0.042342,0.8125,0.5625,0
-0.040262,0.875,0.5625,0
-0.061262,0.9375,0.5625,0
-0.015142,1,0.5625,0
-0.0021754,0,0.625,0
0.081996,0.0625,0.625,0
0.10946,0.125,0.625,0
0.10671,0.1875,0.625,0
0.10252,0.25,0.625,0
0.10489,0.3125,0.625,0
0.10541,0.375,0.625,0
0.099843,0.4375,0.625,0
0.098694,0.5,0.625,0
0.08547,0.5625,0.625,0
0.071265,0.625,0.625,0
0.062218,0.6875,0.625,0
0.041919,0.75,0.625,0
0.015452,0.8125,0.625,0
0.0042966,0.875,0.625,0
-0.02345,0.9375,0.625,0
-0.019295,1,0.625,0
-0.018088,0,0.6875,0
0.090726,0.0625,0.6875,0
0.16501,0.125,0.6875,0
0.16318,0.1875,0.6875,0
0.15914,0.25,0.6875,0
0.16128,0.3125,0.6875,0
0.1665,0.375,0.6875,0
0.16831,0.4375,0.6875,0
0.16282,0.5,0.6875,0
0.15794,0.5625,0.6875,0
0.15471,0.625,0.6875,0
0.13307,0.6875,0.6875,0
0.094609,0.75,0.6875,0
0.073243,0.8125,0.6875,0
0.051509,0.875,0.6875,0
0.003723,0.9375,0.6875,0
-0.017852,1,0.6875,0
-0.02579,0,0.75,0
0.062907,0.0625,0.75,0
0.20849,0.125,0.75,0
0.24097,0.1875,0.75,0
0.23437,0.25,0.75,0
0.23815,0.3125,0.75,0
0.24759,0.375,0.75,0
0.25487,0.4375,0.75,0
0.25699,0.5,0.75,0
0.24871,0.5625,0.75,0
0.22515,0.625,0.75,0
0.18685,0.6875,0.75,0
0.15761,0.75,0.75,0
0.14418,0.8125,0.75,0
0.10235,0.875,0.75,0
0.018739,0.9375,0.75,0
-0.017982,1,0.75,0
-0.010104,0,0.8125,0
-0.0037935,0.0625,0.8125,0
0.14529,0.125,0.8125,0
0.25643,0.1875,0.8125,0
0.27377,0.25,0.8125,0
0.27147,0.3125,0.8125,0
0.27961,0.375,0.8125,0
0.29063,0.4375,0.8125,0
0.29532,0.5,0.8125,0
0.29121,0.5625,0.8125,0
0.2801,0.625,0.8125,0
0.26629,0.6875,0.8125,0
0.25854,0.75,0.8125,0
0.22665,0.8125,0.8125,0
0.13586,0.875,0.8125,0
0.023819,0.9375,0.8125,0
-0.019429,1,0.8125,0
0.033591,0,0.875,0
0.12406,0.0625,0.875,0
0.12569,0.125,0.875,0
0.2586,0.1875,0.875,0
0.3638,0.25,0.875,0
0.40925,0.3125,0.875,0
0.42974,0.375,0.875,0
0.44335,0.4375,0.875,0
0.45094,0.5,0.875,0
