"v_sol","Points:0","Points:1","Points:2"
0.00038165,0,0,0
0.00025702,0.0625,0,0
0.00282,0.125,0,0
0.0018512,0.1875,0,0
-0.011529,0.25,0,0
-0.016556,0.3125,0,0
-0.007181,0.375,0,0
-0.00033639,0.4375,0,0
0.0013513,0.5,0,0
0.0043689,0.5625,0,0
0.009747,0.625,0,0
0.01816,0.6875,0,0
0.0068146,0.75,0,0
-0.0082254,0.8125,0,0
-0.00081333,0.875,0,0
-0.0013268,0.9375,0,0
0.00081313,1,0,0
-0.00071903,0,0.0625,0
-0.0046408,0.0625,0.0625,0
-0.0055208,0.125,0.0625,0
-0.0079931,0.1875,0.0625,0
0.027689,0.25,0.0625,0
0.06063,0.3125,0.0625,0
0.05915,0.375,0.0625,0
0.026773,0.4375,0.0625,0
-0.021213,0.5,0.0625,0
-0.067575,0.5625,0.0625,0
-0.085537,0.625,0.0625,0
-0.046569,0.6875,0.0625,0
0.021254,0.75,0.0625,0
0.033493,0.8125,0.0625,0
0.0082123,0.875,0.0625,0
0.002918,0.9375,0.0625,0
-0.0014201,1,0.0625,0
-0.0081269,0,0.125,0
-0.019878,0.0625,0.125,0
0.01069,0.125,0.125,0
0.096199,0.1875,0.125,0
0.16897,0.25,0.125,0
0.1666,0.3125,0.125,0
0.11456,0.375,0.125,0
0.046208,0.4375,0.125,0
-0.027629,0.5,0.125,0
-0.10279,0.5625,0.125,0
-0.17101,0.625,0.125,0
-0.19573,0.6875,0.125,0
-0.12875,0.75,0.125,0
-0.0040837,0.8125,0.125,0
0.03927,0.875,0.125,0
0.0099747,0.9375,0.125,0
0.0029565,1,0.125,0
-0.032419,0,0.1875,0
-0.0020912,0.0625,0.1875,0
0.13699,0.125,0.1875,0
0.25132,0.1875,0.1875,0
0.25984,0.25,0.1875,0
0.19417,0.3125,0.1875,0
0.11937,0.375,0.1875,0
0.047601,0.4375,0.1875,0
-0.021654,0.5,0.1875,0
-0.091698,0.5625,0.1875,0
-0.16591,0.625,0.1875,0
-0.24819,0.6875,0.1875,0
-0.29418,0.75,0.1875,0
-0.20349,0.8125,0.1875,0
-0.0080951,0.875,0.1875,0
0.044462,0.9375,0.1875,0
-0.00446,1,0.1875,0
-0.044082,0,0.25,0
0.098617,0.0625,0.25,0
0.28402,0.125,0.25,0
0.334,0.1875,0.25,0
0.26747,0.25,0.25,0
0.18524,0.3125,0.25,0
0.11824,0.375,0.25,0
0.05194,0.4375,0.25,0
-0.016455,0.5,0.25,0
-0.086564,0.5625,0.25,0
-0.15188,0.625,0.25,0
-0.21613,0.6875,0.25,0
-0.30872,0.75,0.25,0
-0.37261,0.8125,0.25,0
-0.21837,0.875,0.25,0
0.047534,0.9375,0.25,0
0.01146,1,0.25,0
0.0014639,0,0.3125,0
0.22698,0.0625,0.3125,0
0.37825,0.125,0.3125,0
0.34744,0.1875,0.3125,0
0.25573,0.25,0.3125,0
0.19216,0.3125,0.3125,0
0.13067,0.375,0.3125,0
0.060322,0.4375,0.3125,0
-0.0098847,0.5,0.3125,0
-0.080376,0.5625,0.3125,0
-0.15527,0.625,0.3125,0
-0.22112,0.6875,0.3125,0
-0.27317,0.75,0.3125,0
-0.37566,0.8125,0.3125,0
-0.42121,0.875,0.3125,0
-0.1031,0.9375,0.3125,0
0.09498,1,0.3125,0
0.071155,0,0.375,0
0.33478,0.0625,0.375,0
0.41967,0.125,0.375,0
0.34157,0.1875,0.375,0
0.2609,0.25,0.375,0
0.20759,0.3125,0.375,0
0.1363,0.375,0.375,0
0.065636,0.4375,0.375,0
-0.0048692,0.5,0.375,0
-0.074676,0.5625,0.375,0
-0.13994,0.625,0.375,0
-0.22058,0.6875,0.375,0
-0.29097,0.75,0.375,0
-0.33713,0.8125,0.375,0
-0.46321,0.875,0.375,0
-0.35631,0.9375,0.375,0
0.17132,1,0.375,0
0.1202,0,0.4375,0
0.40491,0.0625,0.4375,0
0.4357,0.125,0.4375,0
0.34267,0.1875,0.4375,0
0.27365,0.25,0.4375,0
0.21571,0.3125,0.4375,0
0.14092,0.375,0.4375,0
0.074002,0.4375,0.4375,0
0.004504,0.5,0.4375,0
-0.071615,0.5625,0.4375,0
-0.14274,0.625,0.4375,0
-0.19856,0.6875,0.4375,0
-0.28765,0.75,0.4375,0
-0.35344,0.8125,0.4375,0
-0.4175,0.875,0.4375,0
-0.5211,0.9375,0.4375,0
0.080887,1,0.4375,0
0.12202,0,0.5,0
0.43999,0.0625,0.5,0
0.44351,0.125,0.5,0
0.34879,0.1875,0.5,0
0.28308,0.25,0.5,0
0.22047,0.3125,0.5,0
0.14797,0.375,0.5,0
0.083708,0.4375,0.5,0
0.0072668,0.5,0.5,0
-0.05735,0.5625,0.5,0
-0.13612,0.625,0.5,0
-0.20699,0.6875,0.5,0
-0.25599,0.75,0.5,0
-0.36653,0.8125,0.5,0
-0.39562,0.875,0.5,0
-0.54323,0.9375,0.5,0
