"u_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.33127,1,0.834,0.5,0.834,0
0.33245,1,0.835,0.5,0.835,0
0.33363,1,0.836,0.5,0.836,0
0.33481,1,0.837,0.5,0.837,0
0.33599,1,0.838,0.5,0.838,0
0.33717,1,0.839,0.5,0.839,0
0.33835,1,0.84,0.5,0.84,0
0.33953,1,0.841,0.5,0.841,0
0.34071,1,0.842,0.5,0.842,0
0.34189,1,0.843,0.5,0.843,0
0.3432,1,0.844,0.5,0.844,0
0.3449,1,0.845,0.5,0.845,0
0.34661,1,0.846,0.5,0.846,0
0.34831,1,0.847,0.5,0.847,0
0.35001,1,0.848,0.5,0.848,0
0.35171,1,0.849,0.5,0.849,0
0.35341,1,0.85,0.5,0.85,0
0.35511,1,0.851,0.5,0.851,0
0.35681,1,0.852,0.5,0.852,0
0.35851,1,0.853,0.5,0.853,0
0.36021,1,0.854,0.5,0.854,0
0.36191,1,0.855,0.5,0.855,0
0.36362,1,0.856,0.5,0.856,0
0.36532,1,0.857,0.5,0.857,0
0.36702,1,0.858,0.5,0.858,0
0.36872,1,0.859,0.5,0.859,0
0.37042,1,0.86,0.5,0.86,0
0.37212,1,0.861,0.5,0.861,0
0.37382,1,0.862,0.5,0.862,0
0.37552,1,0.863,0.5,0.863,0
0.37722,1,0.864,0.5,0.864,0
0.37892,1,0.865,0.5,0.865,0
0.38063,1,0.866,0.5,0.866,0
0.38233,1,0.867,0.5,0.867,0
0.38403,1,0.868,0.5,0.868,0
0.38573,1,0.869,0.5,0.869,0
0.38743,1,0.87,0.5,0.87,0
0.38913,1,0.871,0.5,0.871,0
0.39083,1,0.872,0.5,0.872,0
0.39253,1,0.873,0.5,0.873,0
0.39423,1,0.874,0.5,0.874,0
0.39593,1,0.875,0.5,0.875,0
0.39707,1,0.876,0.5,0.876,0
0.39821,1,0.877,0.5,0.877,0
0.39934,1,0.878,0.5,0.878,0
0.40048,1,0.879,0.5,0.879,0
0.40162,1,0.88,0.5,0.88,0
0.40275,1,0.881,0.5,0.881,0
0.40389,1,0.882,0.5,0.882,0
0.40502,1,0.883,0.5,0.883,0
0.40616,1,0.884,0.5,0.884,0
0.4073,1,0.885,0.5,0.885,0
0.40843,1,0.886,0.5,0.886,0
0.40957,1,0.887,0.5,0.887,0
0.4107,1,0.888,0.5,0.888,0
0.41184,1,0.889,0.5,0.889,0
0.41298,1,0.89,0.5,0.89,0
0.41411,1,0.891,0.5,0.891,0
0.41525,1,0.892,0.5,0.892,0
0.41638,1,0.893,0.5,0.893,0
0.41752,1,0.894,0.5,0.894,0
0.41866,1,0.895,0.5,0.895,0
0.41979,1,0.896,0.5,0.896,0
0.42093,1,0.897,0.5,0.897,0
0.42206,1,0.898,0.5,0.898,0
0.4232,1,0.899,0.5,0.899,0
0.42434,1,0.9,0.5,0.9,0
0.42547,1,0.901,0.5,0.901,0
0.42661,1,0.902,0.5,0.902,0
0.42775,1,0.903,0.5,0.903,0
0.42888,1,0.904,0.5,0.904,0
0.43002,1,0.905,0.5,0.905,0
0.43115,1,0.906,0.5,0.906,0
0.43299,1,0.907,0.5,0.907,0
0.43507,1,0.908,0.5,0.908,0
0.43714,1,0.909,0.5,0.909,0
0.43922,1,0.91,0.5,0.91,0
0.4413,1,0.911,0.5,0.911,0
0.44337,1,0.912,0.5,0.912,0
0.44545,1,0.913,0.5,0.913,0
0.44752,1,0.914,0.5,0.914,0
0.4496,1,0.915,0.5,0.915,0
0.45167,1,0.916,0.5,0.916,0
0.45375,1,0.917,0.5,0.917,0
0.45582,1,0.918,0.5,0.918,0
0.4579,1,0.919,0.5,0.919,0
0.45997,1,0.92,0.5,0.92,0
0.46205,1,0.921,0.5,0.921,0
0.46413,1,0.922,0.5,0.922,0
0.4662,1,0.923,0.5,0.923,0
0.46828,1,0.924,0.5,0.924,0
0.47035,1,0.925,0.5,0.925,0
0.47243,1,0.926,0.5,0.926,0
0.4745,1,0.927,0.5,0.927,0
0.47658,1,0.928,0.5,0.928,0
0.47865,1,0.929,0.5,0.929,0
0.48073,1,0.93,0.5,0.93,0
0.4828,1,0.931,0.5,0.931,0
0.48488,1,0.932,0.5,0.932,0
0.48696,1,0.933,0.5,0.933,0
0.48903,1,0.934,0.5,0.934,0
0.49111,1,0.935,0.5,0.935,0
0.49318,1,0.936,0.5,0.936,0
0.49526,1,0.937,0.5,0.937,0
0.49483,1,0.938,0.5,0.938,0
0.49191,1,0.939,0.5,0.939,0
0.48899,1,0.94,0.5,0.94,0
0.48606,1,0.941,0.5,0.941,0
0.48314,1,0.942,0.5,0.942,0
0.48022,1,0.943,0.5,0.943,0
0.47729,1,0.944,0.5,0.944,0
0.47437,1,0.945,0.5,0.945,0
0.47144,1,0.946,0.5,0.946,0
0.46852,1,0.947,0.5,0.947,0
0.4656,1,0.948,0.5,0.948,0
0.46267,1,0.949,0.5,0.949,0
0.45975,1,0.95,0.5,0.95,0
0.45683,1,0.951,0.5,0.951,0
0.4539,1,0.952,0.5,0.952,0
0.45098,1,0.953,0.5,0.953,0
0.44806,1,0.954,0.5,0.954,0
0.44513,1,0.955,0.5,0.955,0
0.44221,1,0.956,0.5,0.956,0
0.43929,1,0.957,0.5,0.957,0
0.43636,1,0.958,0.5,0.958,0
0.43344,1,0.959,0.5,0.959,0
0.43051,1,0.96,0.5,0.96,0
0.42759,1,0.961,0.5,0.961,0
0.42467,1,0.962,0.5,0.962,0
0.42174,1,0.963,0.5,0.963,0
0.41882,1,0.964,0.5,0.964,0
0.4159,1,0.965,0.5,0.965,0
0.41297,1,0.966,0.5,0.966,0
0.41005,1,0.967,0.5,0.967,0
0.40713,1,0.968,0.5,0.968,0
0.40827,1,0.969,0.5,0.969,0
0.42163,1,0.97,0.5,0.97,0
0.43499,1,0.971,0.5,0.971,0
0.44834,1,0.972,0.5,0.972,0
0.4617,1,0.973,0.5,0.973,0
0.47506,1,0.974,0.5,0.974,0
0.48842,1,0.975,0.5,0.975,0
0.50177,1,0.976,0.5,0.976,0
0.51513,1,0.977,0.5,0.977,0
0.52849,1,0.978,0.5,0.978,0
0.54184,1,0.979,0.5,0.979,0
0.5552,1,0.98,0.5,0.98,0
0.56856,1,0.981,0.5,0.981,0
0.58192,1,0.982,0.5,0.982,0
0.59527,1,0.983,0.5,0.983,0
0.60863,1,0.984,0.5,0.984,0
0.62199,1,0.985,0.5,0.985,0
0.63535,1,0.986,0.5,0.986,0
0.6487,1,0.987,0.5,0.987,0
0.66206,1,0.988,0.5,0.988,0
0.67542,1,0.989,0.5,0.989,0
0.68877,1,0.99,0.5,0.99,0
0.70213,1,0.991,0.5,0.991,0
0.71549,1,0.992,0.5,0.992,0
0.72885,1,0.993,0.5,0.993,0
0.7422,1,0.994,0.5,0.994,0
0.75556,1,0.995,0.5,0.995,0
0.76892,1,0.996,0.5,0.996,0
0.78228,1,0.997,0.5,0.997,0
0.79563,1,0.998,0.5,0.998,0
0.80899,1,0.999,0.5,0.999,0
0.82235,1,1,0.5,1,0
