"v_sol","Points:0","Points:1","Points:2"
3.3708e-06,0,0,0
0.00025557,0.03125,0,0
0.00055658,0.0625,0,0
0.00037413,0.09375,0,0
0.00037812,0.125,0,0
3.4561e-05,0.15625,0,0
-0.00027261,0.1875,0,0
0.0010532,0.21875,0,0
0.0010069,0.25,0,0
-0.0015072,0.28125,0,0
-0.0055238,0.3125,0,0
-0.0087068,0.34375,0,0
-0.0093608,0.375,0,0
-0.0077976,0.40625,0,0
-0.0048873,0.4375,0,0
-0.0023095,0.46875,0,0
-0.00033529,0.5,0,0
0.0028704,0.53125,0,0
0.0046996,0.5625,0,0
0.0057668,0.59375,0,0
0.0067206,0.625,0,0
0.0073175,0.65625,0,0
0.0073577,0.6875,0,0
0.005858,0.71875,0,0
0.0035568,0.75,0,0
0.0010586,0.78125,0,0
-0.00063886,0.8125,0,0
-0.0025536,0.84375,0,0
-0.0027673,0.875,0,0
-0.0012907,0.90625,0,0
-0.00075849,0.9375,0,0
-0.00015305,0.96875,0,0
-7.4951e-06,1,0,0
0.00025741,0,0.03125,0
-0.0014164,0.03125,0.03125,0
-0.0029523,0.0625,0.03125,0
-0.0022271,0.09375,0.03125,0
-0.001306,0.125,0.03125,0
-0.00048573,0.15625,0.03125,0
-0.00033054,0.1875,0.03125,0
-0.0019369,0.21875,0.03125,0
-0.0026764,0.25,0.03125,0
0.0045567,0.28125,0.03125,0
0.019719,0.3125,0.03125,0
0.032825,0.34375,0.03125,0
0.040333,0.375,0.03125,0
0.041303,0.40625,0.03125,0
0.036176,0.4375,0.03125,0
0.026149,0.46875,0.03125,0
0.012416,0.5,0.03125,0
-0.0033038,0.53125,0.03125,0
-0.01921,0.5625,0.03125,0
-0.035333,0.59375,0.03125,0
-0.048681,0.625,0.03125,0
-0.05455,0.65625,0.03125,0
-0.048617,0.6875,0.03125,0
-0.031306,0.71875,0.03125,0
-0.011851,0.75,0.03125,0
0.0028001,0.78125,0.03125,0
0.011976,0.8125,0.03125,0
0.01523,0.84375,0.03125,0
0.012165,0.875,0.03125,0
0.0066474,0.90625,0.03125,0
0.0030342,0.9375,0.03125,0
0.00085814,0.96875,0.03125,0
-0.00027058,1,0.03125,0
0.00037093,0,0.0625,0
-0.006443,0.03125,0.0625,0
-0.009539,0.0625,0.0625,0
-0.0065831,0.09375,0.0625,0
-0.001558,0.125,0.0625,0
0.00024825,0.15625,0.0625,0
0.00051551,0.1875,0.0625,0
0.010854,0.21875,0.0625,0
0.041534,0.25,0.0625,0
0.079149,0.28125,0.0625,0
0.10624,0.3125,0.0625,0
0.11582,0.34375,0.0625,0
0.1085,0.375,0.0625,0
0.090085,0.40625,0.0625,0
0.06623,0.4375,0.0625,0
0.040419,0.46875,0.0625,0
0.014133,0.5,0.0625,0
-0.012942,0.53125,0.0625,0
-0.042357,0.5625,0.0625,0
-0.073459,0.59375,0.0625,0
-0.10407,0.625,0.0625,0
-0.12824,0.65625,0.0625,0
-0.13605,0.6875,0.0625,0
-0.11851,0.71875,0.0625,0
-0.077081,0.75,0.0625,0
-0.03134,0.78125,0.0625,0
-0.0014066,0.8125,0.0625,0
0.014799,0.84375,0.0625,0
0.023042,0.875,0.0625,0
0.020239,0.90625,0.0625,0
0.011871,0.9375,0.0625,0
0.0056472,0.96875,0.0625,0
0.0001315,1,0.0625,0
-0.00016798,0,0.09375,0
-0.015514,0.03125,0.09375,0
-0.016897,0.0625,0.09375,0
-0.0057439,0.09375,0.09375,0
0.0027515,0.125,0.09375,0
0.0084594,0.15625,0.09375,0
0.035913,0.1875,0.09375,0
0.090997,0.21875,0.09375,0
0.14584,0.25,0.09375,0
