"u_sol","Points:0","Points:1","Points:2"
-5.4862e-05,0,0,0
-2.907e-05,0.03125,0,0
0.001156,0.0625,0,0
0.0019265,0.09375,0,0
0.013108,0.125,0,0
0.01972,0.15625,0,0
0.041854,0.1875,0,0
0.067167,0.21875,0,0
0.036148,0.25,0,0
0.0173,0.28125,0,0
0.025571,0.3125,0,0
0.031656,0.34375,0,0
0.037423,0.375,0,0
0.029664,0.40625,0,0
0.0079247,0.4375,0,0
-0.022538,0.46875,0,0
-0.049928,0.5,0,0
-0.066286,0.53125,0,0
-0.065528,0.5625,0,0
-0.046256,0.59375,0,0
-0.010932,0.625,0,0
0.030414,0.65625,0,0
0.0621,0.6875,0,0
0.067898,0.71875,0,0
0.058886,0.75,0,0
0.030188,0.78125,0,0
0.01396,0.8125,0,0
0.0039085,0.84375,0,0
-0.00057245,0.875,0,0
-0.0015492,0.90625,0,0
-0.00070133,0.9375,0,0
0.00039988,0.96875,0,0
-4.298e-05,1,0,0
-0.00037822,0,0.03125,0
0.0017051,0.03125,0.03125,0
0.0066397,0.0625,0.03125,0
0.0080043,0.09375,0.03125,0
0.0075317,0.125,0.03125,0
-0.024493,0.15625,0.03125,0
-0.09968,0.1875,0.03125,0
-0.038893,0.21875,0.03125,0
0.020024,0.25,0.03125,0
0.0027486,0.28125,0.03125,0
-0.048969,0.3125,0.03125,0
-0.13191,0.34375,0.03125,0
-0.2235,0.375,0.03125,0
-0.30485,0.40625,0.03125,0
-0.36071,0.4375,0.03125,0
-0.39367,0.46875,0.03125,0
-0.40322,0.5,0.03125,0
-0.39577,0.53125,0.03125,0
-0.36827,0.5625,0.03125,0
-0.32373,0.59375,0.03125,0
-0.25716,0.625,0.03125,0
-0.17461,0.65625,0.03125,0
-0.081065,0.6875,0.03125,0
0.00031848,0.71875,0.03125,0
0.053681,0.75,0.03125,0
0.068519,0.78125,0.03125,0
0.059227,0.8125,0.03125,0
0.047443,0.84375,0.03125,0
0.027936,0.875,0.03125,0
0.012142,0.90625,0.03125,0
0.002986,0.9375,0.03125,0
-0.00092754,0.96875,0.03125,0
6.6985e-05,1,0.03125,0
-0.00040023,0,0.0625,0
0.0022187,0.03125,0.0625,0
0.0067123,0.0625,0.0625,0
0.012218,0.09375,0.0625,0
0.0065987,0.125,0.0625,0
-0.0080903,0.15625,0.0625,0
0.031373,0.1875,0.0625,0
-0.019447,0.21875,0.0625,0
-0.10792,0.25,0.0625,0
-0.19487,0.28125,0.0625,0
-0.3044,0.3125,0.0625,0
-0.38229,0.34375,0.0625,0
-0.43224,0.375,0.0625,0
-0.45584,0.40625,0.0625,0
-0.46947,0.4375,0.0625,0
-0.47276,0.46875,0.0625,0
-0.47438,0.5,0.0625,0
