"v_sol","Points:0","Points:1","Points:2"
2.9408e-05,0,0,0
0.00025425,0.03125,0,0
0.00036675,0.0625,0,0
0.00026139,0.09375,0,0
0.00017946,0.125,0,0
-3.463e-05,0.15625,0,0
5.1801e-05,0.1875,0,0
0.00049566,0.21875,0,0
-0.00024803,0.25,0,0
-0.0024287,0.28125,0,0
-0.004616,0.3125,0,0
-0.0048774,0.34375,0,0
-0.003592,0.375,0,0
-0.0019007,0.40625,0,0
-0.00039063,0.4375,0,0
0.00073726,0.46875,0,0
0.0014515,0.5,0,0
0.0017816,0.53125,0,0
0.0020531,0.5625,0,0
0.0023803,0.59375,0,0
0.002843,0.625,0,0
0.0032703,0.65625,0,0
0.004171,0.6875,0,0
0.0037996,0.71875,0,0
0.00076398,0.75,0,0
-0.0008616,0.78125,0,0
-0.0022058,0.8125,0,0
-0.0018969,0.84375,0,0
-0.0010329,0.875,0,0
-0.00051855,0.90625,0,0
-0.00022077,0.9375,0,0
-5.6866e-05,0.96875,0,0
1.1738e-05,1,0,0
0.00015922,0,0.03125,0
-0.0014514,0.03125,0.03125,0
-0.0022165,0.0625,0.03125,0
-0.0015253,0.09375,0.03125,0
-0.00073216,0.125,0.03125,0
-0.00013203,0.15625,0.03125,0
-0.00080849,0.1875,0.03125,0
-0.0018309,0.21875,0.03125,0
0.0020271,0.25,0.03125,0
0.0077724,0.28125,0.03125,0
0.012753,0.3125,0.03125,0
0.017719,0.34375,0.03125,0
0.020795,0.375,0.03125,0
0.020052,0.40625,0.03125,0
0.015138,0.4375,0.03125,0
0.0068728,0.46875,0.03125,0
-0.0035119,0.5,0.03125,0
-0.01466,0.53125,0.03125,0
-0.024826,0.5625,0.03125,0
-0.031993,0.59375,0.03125,0
-0.033978,0.625,0.03125,0
-0.029073,0.65625,0.03125,0
-0.015824,0.6875,0.03125,0
0.0019007,0.71875,0.03125,0
0.013927,0.75,0.03125,0
0.015673,0.78125,0.03125,0
0.012447,0.8125,0.03125,0
0.007843,0.84375,0.03125,0
0.0043503,0.875,0.03125,0
0.0022171,0.90625,0.03125,0
0.00095261,0.9375,0.03125,0
0.00012176,0.96875,0.03125,0
-0.00015772,1,0.03125,0
8.2497e-06,0,0.0625,0
-0.0058595,0.03125,0.0625,0
-0.0073001,0.0625,0.0625,0
-0.004327,0.09375,0.0625,0
-0.00059155,0.125,0.0625,0
0.00036092,0.15625,0.0625,0
0.0039592,0.1875,0.0625,0
0.015377,0.21875,0.0625,0
0.033308,0.25,0.0625,0
0.051259,0.28125,0.0625,0
0.062793,0.3125,0.0625,0
0.065444,0.34375,0.0625,0
0.059762,0.375,0.0625,0
0.047462,0.40625,0.0625,0
0.030299,0.4375,0.0625,0
0.0098722,0.46875,0.0625,0
-0.012471,0.5,0.0625,0
-0.035304,0.53125,0.0625,0
-0.05676,0.5625,0.0625,0
-0.074193,0.59375,0.0625,0
-0.084059,0.625,0.0625,0
-0.082456,0.65625,0.0625,0
-0.067032,0.6875,0.0625,0
-0.038476,0.71875,0.0625,0
-0.0049358,0.75,0.0625,0
0.017117,0.78125,0.0625,0
0.02312,0.8125,0.0625,0
0.021481,0.84375,0.0625,0
0.015665,0.875,0.0625,0
0.0095458,0.90625,0.0625,0
0.0050438,0.9375,0.0625,0
0.001998,0.96875,0.0625,0
-0.00021315,1,0.0625,0
-0.00049044,0,0.09375,0
-0.012854,0.03125,0.09375,0
-0.012198,0.0625,0.09375,0
-0.0037549,0.09375,0.09375,0
0.0033936,0.125,0.09375,0
0.013588,0.15625,0.09375,0
0.03635,0.1875,0.09375,0
0.067856,0.21875,0.09375,0
0.095453,0.25,0.09375,0
0.1119,0.28125,0.09375,0
0.11516,0.3125,0.09375,0
0.10688,0.34375,0.09375,0
0.090234,0.375,0.09375,0
0.067968,0.40625,0.09375,0
0.042017,0.4375,0.09375,0
0.013599,0.46875,0.09375,0
-0.016455,0.5,0.09375,0
-0.047343,0.53125,0.09375,0
-0.077717,0.5625,0.09375,0
-0.10536,0.59375,0.09375,0
-0.12662,0.625,0.09375,0
-0.13653,0.65625,0.09375,0
-0.12987,0.6875,0.09375,0
-0.10437,0.71875,0.09375,0
-0.063165,0.75,0.09375,0
-0.017797,0.78125,0.09375,0
0.012355,0.8125,0.09375,0
0.021286,0.84375,0.09375,0
0.021961,0.875,0.09375,0
0.017188,0.90625,0.09375,0
0.011251,0.9375,0.09375,0
0.0057527,0.96875,0.09375,0
0.00018324,1,0.09375,0
-0.002167,0,0.125,0
-0.021701,0.03125,0.125,0
-0.013301,0.0625,0.125,0
0.0038315,0.09375,0.125,0
0.022935,0.125,0.125,0
0.056458,0.15625,0.125,0
0.099616,0.1875,0.125,0
0.13671,0.21875,0.125,0
0.15893,0.25,0.125,0
0.16415,0.28125,0.125,0
0.155,0.3125,0.125,0
0.13571,0.34375,0.125,0
0.11005,0.375,0.125,0
0.080679,0.40625,0.125,0
0.049165,0.4375,0.125,0
0.016345,0.46875,0.125,0
-0.017345,0.5,0.125,0
-0.051686,0.53125,0.125,0
-0.086471,0.5625,0.125,0
-0.12068,0.59375,0.125,0
-0.15201,0.625,0.125,0
-0.17619,0.65625,0.125,0
-0.187,0.6875,0.125,0
-0.17747,0.71875,0.125,0
-0.14379,0.75,0.125,0
-0.089627,0.78125,0.125,0
-0.029645,0.8125,0.125,0
0.009859,0.84375,0.125,0
0.019633,0.875,0.125,0
0.021368,0.90625,0.125,0
0.016558,0.9375,0.125,0
0.010638,0.96875,0.125,0
0.00070217,1,0.125,0
-0.0061276,0,0.15625,0
-0.029079,0.03125,0.15625,0
-0.0054988,0.0625,0.15625,0
0.026633,0.09375,0.15625,0
0.069132,0.125,0.15625,0
0.12281,0.15625,0.15625,0
0.17056,0.1875,0.15625,0
0.20018,0.21875,0.15625,0
0.20862,0.25,0.15625,0
0.1993,0.28125,0.15625,0
0.1779,0.3125,0.15625,0
0.1495,0.34375,0.15625,0
0.11772,0.375,0.15625,0
0.084675,0.40625,0.15625,0
0.05127,0.4375,0.15625,0
0.017682,0.46875,0.15625,0
-0.016232,0.5,0.15625,0
-0.050649,0.53125,0.15625,0
-0.085697,0.5625,0.15625,0
-0.12133,0.59375,0.15625,0
-0.15697,0.625,0.15625,0
-0.19082,0.65625,0.15625,0
-0.21854,0.6875,0.15625,0
-0.23252,0.71875,0.15625,0
-0.22295,0.75,0.15625,0
-0.18256,0.78125,0.15625,0
-0.1138,0.8125,0.15625,0
-0.035511,0.84375,0.15625,0
0.01282,0.875,0.15625,0
0.019574,0.90625,0.15625,0
0.021479,0.9375,0.15625,0
0.014726,0.96875,0.15625,0
0.0012716,1,0.15625,0
-0.013093,0,0.1875,0
-0.027957,0.03125,0.1875,0
0.016841,0.0625,0.1875,0
0.070326,0.09375,0.1875,0
0.13334,0.125,0.1875,0
0.19309,0.15625,0.1875,0
0.23284,0.1875,0.1875,0
0.247,0.21875,0.1875,0
0.23912,0.25,0.1875,0
0.21649,0.28125,0.1875,0
0.18605,0.3125,0.1875,0
0.15268,0.34375,0.1875,0
0.1189,0.375,0.1875,0
0.085435,0.40625,0.1875,0
0.052173,0.4375,0.1875,0
0.018824,0.46875,0.1875,0
-0.014822,0.5,0.1875,0
-0.048818,0.53125,0.1875,0
-0.083058,0.5625,0.1875,0
-0.11752,0.59375,0.1875,0
-0.15234,0.625,0.1875,0
-0.18775,0.65625,0.1875,0
-0.22312,0.6875,0.1875,0
-0.2546,0.71875,0.1875,0
-0.27278,0.75,0.1875,0
-0.26341,0.78125,0.1875,0
-0.21438,0.8125,0.1875,0
-0.12751,0.84375,0.1875,0
-0.029358,0.875,0.1875,0
0.019891,0.90625,0.1875,0
0.021374,0.9375,0.1875,0
0.018613,0.96875,0.1875,0
0.001972,1,0.1875,0
-0.019901,0,0.21875,0
-0.011529,0.03125,0.21875,0
0.055204,0.0625,0.21875,0
0.12825,0.09375,0.21875,0
0.20064,0.125,0.21875,0
0.25422,0.15625,0.21875,0
0.27832,0.1875,0.21875,0
0.27498,0.21875,0.21875,0
0.25289,0.25,0.21875,0
0.22143,0.28125,0.21875,0
0.18729,0.3125,0.21875,0
0.15349,0.34375,0.21875,0
0.12043,0.375,0.21875,0
0.087528,0.40625,0.21875,0
0.054358,0.4375,0.21875,0
0.020776,0.46875,0.21875,0
-0.013192,0.5,0.21875,0
-0.047445,0.53125,0.21875,0
-0.081751,0.5625,0.21875,0
-0.11582,0.59375,0.21875,0
-0.14942,0.625,0.21875,0
-0.18269,0.65625,0.21875,0
-0.21666,0.6875,0.21875,0
-0.25238,0.71875,0.21875,0
-0.28706,0.75,0.21875,0
-0.30878,0.78125,0.21875,0
-0.29689,0.8125,0.21875,0
-0.23346,0.84375,0.21875,0
-0.1227,0.875,0.21875,0
-0.007335,0.90625,0.21875,0
0.024252,0.9375,0.21875,0
0.022157,0.96875,0.21875,0
0.001705,1,0.21875,0
-0.018815,0,0.25,0
0.020291,0.03125,0.25,0
0.10504,0.0625,0.25,0
0.19015,0.09375,0.25,0
0.26063,0.125,0.25,0
0.30032,0.15625,0.25,0
0.30651,0.1875,0.25,0
0.28796,0.21875,0.25,0
0.25677,0.25,0.25,0
0.22232,0.28125,0.25,0
0.18881,0.3125,0.25,0
0.15636,0.34375,0.25,0
0.12389,0.375,0.25,0
0.090838,0.40625,0.25,0
0.057224,0.4375,0.25,0
0.023204,0.46875,0.25,0
-0.01109,0.5,0.25,0
-0.045578,0.53125,0.25,0
-0.080223,0.5625,0.25,0
-0.11485,0.59375,0.25,0
-0.14905,0.625,0.25,0
-0.18221,0.65625,0.25,0
-0.21409,0.6875,0.25,0
-0.24613,0.71875,0.25,0
-0.28138,0.75,0.25,0
-0.31839,0.78125,0.25,0
-0.34136,0.8125,0.25,0
-0.32055,0.84375,0.25,0
-0.23264,0.875,0.25,0
-0.091417,0.90625,0.25,0
0.023686,0.9375,0.25,0
0.022569,0.96875,0.25,0
0.0035736,1,0.25,0
-0.0066928,0,0.28125,0
0.063306,0.03125,0.28125,0
0.15982,0.0625,0.28125,0
0.24803,0.09375,0.28125,0
0.30866,0.125,0.28125,0
0.33138,0.15625,0.28125,0
0.32134,0.1875,0.28125,0
0.29249,0.21875,0.28125,0
0.25793,0.25,0.28125,0
0.22444,0.28125,0.28125,0
0.19247,0.3125,0.28125,0
0.16035,0.34375,0.28125,0
0.12732,0.375,0.28125,0
0.093611,0.40625,0.28125,0
0.059617,0.4375,0.28125,0
0.025503,0.46875,0.28125,0
-0.00872,0.5,0.28125,0
-0.043082,0.53125,0.28125,0
-0.077623,0.5625,0.28125,0
-0.11237,0.59375,0.28125,0
-0.14727,0.625,0.28125,0
-0.18193,0.65625,0.28125,0
-0.21531,0.6875,0.28125,0
-0.24636,0.71875,0.28125,0
-0.27661,0.75,0.28125,0
-0.3114,0.78125,0.28125,0
-0.35027,0.8125,0.28125,0
-0.36993,0.84375,0.28125,0
-0.32823,0.875,0.28125,0
-0.20127,0.90625,0.28125,0
-0.028055,0.9375,0.28125,0
0.031472,0.96875,0.28125,0
0.0080391,1,0.28125,0
0.013312,0,0.3125,0
0.11241,0.03125,0.3125,0
0.21351,0.0625,0.3125,0
0.29773,0.09375,0.3125,0
0.34443,0.125,0.3125,0
0.35063,0.15625,0.3125,0
0.32831,0.1875,0.3125,0
0.29441,0.21875,0.3125,0
0.26027,0.25,0.3125,0
0.2284,0.28125,0.3125,0
0.19665,0.3125,0.3125,0
0.16367,0.34375,0.3125,0
0.12983,0.375,0.3125,0
0.09581,0.40625,0.3125,0
0.06183,0.4375,0.3125,0
0.027833,0.46875,0.3125,0
-0.0062609,0.5,0.3125,0
-0.04049,0.53125,0.3125,0
-0.07484,0.5625,0.3125,0
-0.10932,0.59375,0.3125,0
-0.14404,0.625,0.3125,0
-0.17912,0.65625,0.3125,0
-0.21437,0.6875,0.3125,0
-0.24833,0.71875,0.3125,0
-0.27883,0.75,0.3125,0
