"u_sol","Points:0","Points:1","Points:2"
-0.0003323,0,0,0
0.0020783,0.0625,0,0
-0.0038656,0.125,0,0
0.0080227,0.1875,0,0
0.032241,0.25,0,0
0.065299,0.3125,0,0
0.046067,0.375,0,0
-0.021692,0.4375,0,0
-0.067756,0.5,0,0
-0.065636,0.5625,0,0
-0.014243,0.625,0,0
0.061063,0.6875,0,0
0.10029,0.75,0,0
0.046037,0.8125,0,0
-0.0029812,0.875,0,0
0.00098886,0.9375,0,0
0.00085414,1,0,0
-0.0018239,0,0.0625,0
0.0060106,0.0625,0.0625,0
0.023521,0.125,0.0625,0
0.023972,0.1875,0.0625,0
-0.034935,0.25,0.0625,0
-0.16466,0.3125,0.0625,0
-0.27822,0.375,0.0625,0
-0.33345,0.4375,0.0625,0
-0.34853,0.5,0.0625,0
-0.33044,0.5625,0.0625,0
-0.2778,0.625,0.0625,0
-0.18682,0.6875,0.0625,0
-0.067995,0.75,0.0625,0
0.033174,0.8125,0.0625,0
0.033055,0.875,0.0625,0
0.00044659,0.9375,0.0625,0
-0.00093241,1,0.0625,0
-0.0016833,0,0.125,0
0.019303,0.0625,0.125,0
0.0043366,0.125,0.125,0
-0.10189,0.1875,0.125,0
-0.24737,0.25,0.125,0
-0.33826,0.3125,0.125,0
-0.37376,0.375,0.125,0
-0.38517,0.4375,0.125,0
-0.38744,0.5,0.125,0
-0.38594,0.5625,0.125,0
-0.37997,0.625,0.125,0
-0.35619,0.6875,0.125,0
-0.28017,0.75,0.125,0
-0.13125,0.8125,0.125,0
0.011783,0.875,0.125,0
0.017083,0.9375,0.125,0
-0.0032059,1,0.125,0
0.0062189,0,0.1875,0
0.0029861,0.0625,0.1875,0
-0.097153,0.125,0.1875,0
-0.23007,0.1875,0.1875,0
-0.30696,0.25,0.1875,0
-0.32499,0.3125,0.1875,0
-0.32476,0.375,0.1875,0
-0.32176,0.4375,0.1875,0
-0.31962,0.5,0.1875,0
-0.31887,0.5625,0.1875,0
-0.32101,0.625,0.1875,0
-0.33085,0.6875,0.1875,0
-0.33633,0.75,0.1875,0
-0.27865,0.8125,0.1875,0
-0.11109,0.875,0.1875,0
0.021746,0.9375,0.1875,0
-0.0084162,1,0.1875,0
0.010471,0,0.25,0
-0.054547,0.0625,0.25,0
-0.16882,0.125,0.25,0
-0.24735,0.1875,0.25,0
-0.26349,0.25,0.25,0
-0.25826,0.3125,0.25,0
-0.25763,0.375,0.25,0
-0.26018,0.4375,0.25,0
-0.2631,0.5,0.25,0
-0.26414,0.5625,0.25,0
-0.26339,0.625,0.25,0
-0.25961,0.6875,0.25,0
-0.26555,0.75,0.25,0
-0.28323,0.8125,0.25,0
-0.22672,0.875,0.25,0
-0.042092,0.9375,0.25,0
0.028472,1,0.25,0
0.0054643,0,0.3125,0
-0.082553,0.0625,0.3125,0
-0.16831,0.125,0.3125,0
-0.19963,0.1875,0.3125,0
-0.19596,0.25,0.3125,0
-0.19718,0.3125,0.3125,0
-0.20272,0.375,0.3125,0
-0.20577,0.4375,0.3125,0
-0.20638,0.5,0.3125,0
-0.20866,0.5625,0.3125,0
-0.21349,0.625,0.3125,0
-0.21796,0.6875,0.3125,0
-0.20998,0.75,0.3125,0
-0.20581,0.8125,0.3125,0
-0.22364,0.875,0.3125,0
-0.12119,0.9375,0.3125,0
0.036108,1,0.3125,0
0.0040516,0,0.375,0
-0.071412,0.0625,0.375,0
-0.12482,0.125,0.375,0
-0.13493,0.1875,0.375,0
-0.13476,0.25,0.375,0
-0.14086,0.3125,0.375,0
-0.14296,0.375,0.375,0
-0.14268,0.4375,0.375,0
-0.14553,0.5,0.375,0
-0.14836,0.5625,0.375,0
-0.1493,0.625,0.375,0
-0.15533,0.6875,0.375,0
-0.16632,0.75,0.375,0
-0.15742,0.8125,0.375,0
-0.15539,0.875,0.375,0
-0.14662,0.9375,0.375,0
-0.0087315,1,0.375,0
0.0035604,0,0.4375,0
-0.039216,0.0625,0.4375,0
-0.067996,0.125,0.4375,0
-0.073978,0.1875,0.4375,0
-0.077717,0.25,0.4375,0
-0.082125,0.3125,0.4375,0
-0.083376,0.375,0.4375,0
-0.087964,0.4375,0.4375,0
-0.092696,0.5,0.4375,0
-0.095544,0.5625,0.4375,0
-0.10022,0.625,0.4375,0
-0.098962,0.6875,0.4375,0
-0.10431,0.75,0.4375,0
-0.11303,0.8125,0.4375,0
-0.10135,0.875,0.4375,0
-0.10419,0.9375,0.4375,0
-0.014557,1,0.4375,0
0.0047759,0,0.5,0
-0.0013344,0.0625,0.5,0
-0.011731,0.125,0.5,0
-0.01603,0.1875,0.5,0
-0.020366,0.25,0.5,0
-0.023532,0.3125,0.5,0
-0.026041,0.375,0.5,0
-0.029483,0.4375,0.5,0
-0.031725,0.5,0.5,0
-0.03641,0.5625,0.5,0
-0.04189,0.625,0.5,0
-0.050657,0.6875,0.5,0
-0.051594,0.75,0.5,0
-0.063352,0.8125,0.5,0
-0.057295,0.875,0.5,0
-0.059183,0.9375,0.5,0
-0.011809,1,0.5,0
0.0046344,0,0.5625,0
0.038155,0.0625,0.5625,0
0.042542,0.125,0.5625,0
0.039092,0.1875,0.5625,0
0.034911,0.25,0.5625,0
0.034225,0.3125,0.5625,0
0.031054,0.375,0.5625,0
0.029447,0.4375,0.5625,0
0.025813,0.5,0.5625,0
0.020101,0.5625,0.5625,0
0.015388,0.625,0.5625,0
0.0054739,0.6875,0.5625,0
-0.0022531,0.75,0.5625,0
-0.015857,0.8125,0.5625,0
-0.019939,0.875,0.5625,0
-0.028777,0.9375,0.5625,0
-0.012265,1,0.5625,0
0.0011066,0,0.625,0
0.067974,0.0625,0.625,0
0.094272,0.125,0.625,0
0.096309,0.1875,0.625,0
0.091171,0.25,0.625,0
0.091929,0.3125,0.625,0
0.091221,0.375,0.625,0
0.089233,0.4375,0.625,0
0.08698,0.5,0.625,0
0.082203,0.5625,0.625,0
0.071301,0.625,0.625,0
0.061289,0.6875,0.625,0
0.047144,0.75,0.625,0
0.029854,0.8125,0.625,0
0.016279,0.875,0.625,0
-0.0055719,0.9375,0.625,0
-0.01159,1,0.625,0
-0.013978,0,0.6875,0
0.076248,0.0625,0.6875,0
0.14003,0.125,0.6875,0
0.14807,0.1875,0.6875,0
0.14571,0.25,0.6875,0
0.14617,0.3125,0.6875,0
0.14942,0.375,0.6875,0
0.14974,0.4375,0.6875,0
0.14714,0.5,0.6875,0
0.14116,0.5625,0.6875,0
0.13321,0.625,0.6875,0
0.12148,0.6875,0.6875,0
0.097208,0.75,0.6875,0
0.075795,0.8125,0.6875,0
0.05446,0.875,0.6875,0
0.010282,0.9375,0.6875,0
-0.012329,1,0.6875,0
-0.027798,0,0.75,0
0.047381,0.0625,0.75,0
0.17056,0.125,0.75,0
0.20641,0.1875,0.75,0
0.20677,0.25,0.75,0
0.20666,0.3125,0.75,0
0.21253,0.375,0.75,0
