"u_sol","Points:0","Points:1","Points:2"
8.1458e-06,0,0,0
-0.00018685,0.03125,0,0
0.00028535,0.0625,0,0
0.00094695,0.09375,0,0
0.0014306,0.125,0,0
0.0013012,0.15625,0,0
0.0025098,0.1875,0,0
0.0032766,0.21875,0,0
0.0021919,0.25,0,0
0.0092488,0.28125,0,0
0.023067,0.3125,0,0
0.032847,0.34375,0,0
0.03321,0.375,0,0
0.021375,0.40625,0,0
4.5576e-05,0.4375,0,0
-0.023826,0.46875,0,0
-0.042459,0.5,0,0
-0.05233,0.53125,0,0
-0.051699,0.5625,0,0
-0.03812,0.59375,0,0
-0.013109,0.625,0,0
0.016766,0.65625,0,0
0.040701,0.6875,0,0
0.050263,0.71875,0,0
0.047899,0.75,0,0
0.038341,0.78125,0,0
0.020476,0.8125,0,0
0.0052541,0.84375,0,0
-2.1673e-05,0.875,0,0
-0.0011978,0.90625,0,0
-0.00084856,0.9375,0,0
-0.00039397,0.96875,0,0
6.9838e-05,1,0,0
-0.00026118,0,0.03125,0
0.0011814,0.03125,0.03125,0
0.0058519,0.0625,0.03125,0
0.011228,0.09375,0.03125,0
0.014182,0.125,0.03125,0
0.015959,0.15625,0.03125,0
0.01554,0.1875,0.03125,0
0.016713,0.21875,0.03125,0
0.017996,0.25,0.03125,0
-0.0016228,0.28125,0.03125,0
-0.0525,0.3125,0.03125,0
-0.1268,0.34375,0.03125,0
-0.20899,0.375,0.03125,0
-0.28273,0.40625,0.03125,0
-0.33822,0.4375,0.03125,0
-0.37263,0.46875,0.03125,0
-0.38731,0.5,0.03125,0
-0.38274,0.53125,0.03125,0
-0.35819,0.5625,0.03125,0
-0.31364,0.59375,0.03125,0
-0.24944,0.625,0.03125,0
-0.16895,0.65625,0.03125,0
-0.08204,0.6875,0.03125,0
-0.0060807,0.71875,0.03125,0
0.041955,0.75,0.03125,0
0.062524,0.78125,0.03125,0
0.068312,0.8125,0.03125,0
0.056862,0.84375,0.03125,0
0.033456,0.875,0.03125,0
0.014949,0.90625,0.03125,0
0.0048241,0.9375,0.03125,0
0.00070334,0.96875,0.03125,0
-0.00018253,1,0.03125,0
-0.00065783,0,0.0625,0
0.0029987,0.03125,0.0625,0
0.010924,0.0625,0.0625,0
0.016249,0.09375,0.0625,0
0.016814,0.125,0.0625,0
0.013548,0.15625,0.0625,0
0.010016,0.1875,0.0625,0
-0.012185,0.21875,0.0625,0
-0.077804,0.25,0.0625,0
-0.17713,0.28125,0.0625,0
-0.28111,0.3125,0.0625,0
-0.36502,0.34375,0.0625,0
-0.42075,0.375,0.0625,0
-0.45279,0.40625,0.0625,0
-0.46965,0.4375,0.0625,0
-0.47803,0.46875,0.0625,0
-0.48073,0.5,0.0625,0
-0.47818,0.53125,0.0625,0
-0.47043,0.5625,0.0625,0
-0.45579,0.59375,0.0625,0
-0.42954,0.625,0.0625,0
-0.384,0.65625,0.0625,0
-0.31151,0.6875,0.0625,0
-0.21357,0.71875,0.0625,0
-0.11108,0.75,0.0625,0
-0.037317,0.78125,0.0625,0
-0.0018205,0.8125,0.0625,0
0.020223,0.84375,0.0625,0
0.030123,0.875,0.0625,0
0.02206,0.90625,0.0625,0
0.010825,0.9375,0.0625,0
0.0029197,0.96875,0.0625,0
-0.00048914,1,0.0625,0
-0.0012631,0,0.09375,0
0.0060653,0.03125,0.09375,0
0.016502,0.0625,0.09375,0
0.016616,0.09375,0.09375,0
0.0092225,0.125,0.09375,0
-0.0023911,0.15625,0.09375,0
-0.046662,0.1875,0.09375,0
-0.14189,0.21875,0.09375,0
-0.2581,0.25,0.09375,0
-0.35453,0.28125,0.09375,0
-0.4127,0.3125,0.09375,0
-0.43882,0.34375,0.09375,0
-0.44738,0.375,0.09375,0
-0.44934,0.40625,0.09375,0
-0.44892,0.4375,0.09375,0
-0.44688,0.46875,0.09375,0
-0.44391,0.5,0.09375,0
-0.44138,0.53125,0.09375,0
-0.44006,0.5625,0.09375,0
-0.44085,0.59375,0.09375,0
-0.44405,0.625,0.09375,0
-0.44547,0.65625,0.09375,0
-0.43217,0.6875,0.09375,0
-0.38346,0.71875,0.09375,0
-0.28633,0.75,0.09375,0
-0.16003,0.78125,0.09375,0
-0.05852,0.8125,0.09375,0
-0.016172,0.84375,0.09375,0
0.0011504,0.875,0.09375,0
0.012213,0.90625,0.09375,0
0.009758,0.9375,0.09375,0
0.0034721,0.96875,0.09375,0
-0.00069875,1,0.09375,0
-0.0020995,0,0.125,0
0.010049,0.03125,0.125,0
0.016846,0.0625,0.125,0
0.0063261,0.09375,0.125,0
-0.011595,0.125,0.125,0
-0.066315,0.15625,0.125,0
-0.17335,0.1875,0.125,0
-0.28939,0.21875,0.125,0
-0.36901,0.25,0.125,0
-0.40272,0.28125,0.125,0
-0.40758,0.3125,0.125,0
-0.40234,0.34375,0.125,0
-0.39628,0.375,0.125,0
-0.39141,0.40625,0.125,0
-0.38793,0.4375,0.125,0
-0.38574,0.46875,0.125,0
-0.38406,0.5,0.125,0
-0.38154,0.53125,0.125,0
-0.37817,0.5625,0.125,0
-0.37551,0.59375,0.125,0
-0.37665,0.625,0.125,0
-0.38624,0.65625,0.125,0
-0.406,0.6875,0.125,0
-0.42418,0.71875,0.125,0
-0.40884,0.75,0.125,0
-0.327,0.78125,0.125,0
-0.18786,0.8125,0.125,0
