"u_sol","Points:0","Points:1","Points:2"
0.00039537,0,0,0
-0.00045219,0.0625,0,0
-0.0025755,0.125,0,0
0.008683,0.1875,0,0
0.041404,0.25,0,0
0.07443,0.3125,0,0
0.048002,0.375,0,0
-0.020212,0.4375,0,0
-0.071838,0.5,0,0
-0.080738,0.5625,0,0
-0.042325,0.625,0,0
0.027672,0.6875,0,0
0.084754,0.75,0,0
0.067342,0.8125,0,0
0.011048,0.875,0,0
-0.0016968,0.9375,0,0
-0.00019934,1,0,0
-0.0025218,0,0.0625,0
0.009108,0.0625,0.0625,0
0.027963,0.125,0.0625,0
0.028003,0.1875,0.0625,0
-0.034628,0.25,0.0625,0
-0.1574,0.3125,0.0625,0
-0.266,0.375,0.0625,0
-0.3269,0.4375,0.0625,0
-0.34777,0.5,0.0625,0
-0.33438,0.5625,0.0625,0
-0.28793,0.625,0.0625,0
-0.20745,0.6875,0.0625,0
-0.10033,0.75,0.0625,0
0.0053255,0.8125,0.0625,0
0.039037,0.875,0.0625,0
0.0077631,0.9375,0.0625,0
-0.0007684,1,0.0625,0
-0.001274,0,0.125,0
0.023062,0.0625,0.125,0
0.0041948,0.125,0.125,0
-0.096384,0.1875,0.125,0
-0.23011,0.25,0.125,0
-0.32783,0.3125,0.125,0
-0.37505,0.375,0.125,0
-0.39186,0.4375,0.125,0
-0.39651,0.5,0.125,0
-0.39389,0.5625,0.125,0
-0.38277,0.625,0.125,0
-0.35356,0.6875,0.125,0
-0.28443,0.75,0.125,0
-0.16108,0.8125,0.125,0
-0.020237,0.875,0.125,0
0.020416,0.9375,0.125,0
-0.0077271,1,0.125,0
0.0072311,0,0.1875,0
0.00031228,0.0625,0.1875,0
-0.091911,0.125,0.1875,0
-0.2153,0.1875,0.1875,0
-0.30362,0.25,0.1875,0
-0.33795,0.3125,0.1875,0
-0.34434,0.375,0.1875,0
-0.34531,0.4375,0.1875,0
-0.3437,0.5,0.1875,0
-0.34134,0.5625,0.1875,0
-0.34047,0.625,0.1875,0
-0.34325,0.6875,0.1875,0
-0.33655,0.75,0.1875,0
-0.27898,0.8125,0.1875,0
-0.13965,0.875,0.1875,0
0.0047417,0.9375,0.1875,0
0.0073908,1,0.1875,0
0.0091958,0,0.25,0
-0.053135,0.0625,0.25,0
-0.15918,0.125,0.25,0
-0.24532,0.1875,0.25,0
-0.27851,0.25,0.25,0
-0.27983,0.3125,0.25,0
-0.2792,0.375,0.25,0
-0.27986,0.4375,0.25,0
-0.28047,0.5,0.25,0
-0.28008,0.5625,0.25,0
-0.27655,0.625,0.25,0
-0.27195,0.6875,0.25,0
-0.27726,0.75,0.25,0
-0.28237,0.8125,0.25,0
-0.2269,0.875,0.25,0
-0.067229,0.9375,0.25,0
0.031048,1,0.25,0
0.0047316,0,0.3125,0
-0.078426,0.0625,0.3125,0
-0.16512,0.125,0.3125,0
-0.2091,0.1875,0.3125,0
-0.21478,0.25,0.3125,0
-0.21374,0.3125,0.3125,0
-0.217,0.375,0.3125,0
-0.2198,0.4375,0.3125,0
-0.221,0.5,0.3125,0
-0.22287,0.5625,0.3125,0
-0.22689,0.625,0.3125,0
-0.22512,0.6875,0.3125,0
-0.21339,0.75,0.3125,0
-0.21298,0.8125,0.3125,0
-0.21647,0.875,0.3125,0
-0.13218,0.9375,0.3125,0
0.0094514,1,0.3125,0
0.0035805,0,0.375,0
-0.069284,0.0625,0.375,0
-0.12774,0.125,0.375,0
-0.14737,0.1875,0.375,0
-0.1487,0.25,0.375,0
-0.15132,0.3125,0.375,0
-0.15446,0.375,0.375,0
-0.15362,0.4375,0.375,0
-0.15271,0.5,0.375,0
-0.15379,0.5625,0.375,0
-0.1572,0.625,0.375,0
-0.16785,0.6875,0.375,0
-0.17053,0.75,0.375,0
-0.15458,0.8125,0.375,0
-0.15461,0.875,0.375,0
-0.13279,0.9375,0.375,0
-0.0064905,1,0.375,0
0.003351,0,0.4375,0
-0.040146,0.0625,0.4375,0
-0.073409,0.125,0.4375,0
-0.083033,0.1875,0.4375,0
-0.085743,0.25,0.4375,0
-0.089374,0.3125,0.4375,0
-0.090407,0.375,0.4375,0
-0.090894,0.4375,0.4375,0
-0.09471,0.5,0.4375,0
