"v_sol","Points:0","Points:1","Points:2"
-5.0101e-05,0,0,0
0.0011534,0.0625,0,0
0.0031011,0.125,0,0
0.0020505,0.1875,0,0
-0.01415,0.25,0,0
-0.018721,0.3125,0,0
-0.0062748,0.375,0,0
0.0014436,0.4375,0,0
0.0035886,0.5,0,0
0.003137,0.5625,0,0
0.0027713,0.625,0,0
0.0037576,0.6875,0,0
0.010886,0.75,0,0
0.011112,0.8125,0,0
-0.00063391,0.875,0,0
-0.0037601,0.9375,0,0
0.0011262,1,0,0
-0.00064656,0,0.0625,0
-0.005626,0.0625,0.0625,0
-0.011024,0.125,0.0625,0
-0.0098423,0.1875,0.0625,0
0.021559,0.25,0.0625,0
0.058263,0.3125,0.0625,0
0.074505,0.375,0.0625,0
0.056816,0.4375,0.0625,0
0.018494,0.5,0.0625,0
-0.024106,0.5625,0.0625,0
-0.06402,0.625,0.0625,0
-0.086655,0.6875,0.0625,0
-0.068281,0.75,0.0625,0
-0.0026168,0.8125,0.0625,0
0.032554,0.875,0.0625,0
0.011862,0.9375,0.0625,0
-0.0031162,1,0.0625,0
-0.0085507,0,0.125,0
-0.029385,0.0625,0.125,0
0.0055161,0.125,0.125,0
0.075931,0.1875,0.125,0
0.14635,0.25,0.125,0
0.16463,0.3125,0.125,0
0.13152,0.375,0.125,0
0.078512,0.4375,0.125,0
0.020049,0.5,0.125,0
-0.041808,0.5625,0.125,0
-0.10525,0.625,0.125,0
-0.16122,0.6875,0.125,0
-0.18075,0.75,0.125,0
-0.12805,0.8125,0.125,0
-0.0090824,0.875,0.125,0
0.038463,0.9375,0.125,0
-0.0022877,1,0.125,0
-0.044941,0,0.1875,0
-0.012748,0.0625,0.1875,0
0.10471,0.125,0.1875,0
0.2048,0.1875,0.1875,0
0.23974,0.25,0.1875,0
0.20341,0.3125,0.1875,0
0.14349,0.375,0.1875,0
0.082321,0.4375,0.1875,0
0.019255,0.5,0.1875,0
-0.044612,0.5625,0.1875,0
-0.1097,0.625,0.1875,0
-0.17867,0.6875,0.1875,0
