"u_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.28876,1,0.144,0.5,0.144,0
-0.28808,1,0.145,0.5,0.145,0
-0.28741,1,0.146,0.5,0.146,0
-0.28673,1,0.147,0.5,0.147,0
-0.28606,1,0.148,0.5,0.148,0
-0.28538,1,0.149,0.5,0.149,0
-0.28471,1,0.15,0.5,0.15,0
-0.28403,1,0.151,0.5,0.151,0
-0.28336,1,0.152,0.5,0.152,0
-0.28268,1,0.153,0.5,0.153,0
-0.282,1,0.154,0.5,0.154,0
-0.28133,1,0.155,0.5,0.155,0
-0.28065,1,0.156,0.5,0.156,0
-0.27998,1,0.157,0.5,0.157,0
-0.2793,1,0.158,0.5,0.158,0
-0.27863,1,0.159,0.5,0.159,0
-0.27795,1,0.16,0.5,0.16,0
-0.27728,1,0.161,0.5,0.161,0
-0.2766,1,0.162,0.5,0.162,0
-0.27593,1,0.163,0.5,0.163,0
-0.27525,1,0.164,0.5,0.164,0
-0.27457,1,0.165,0.5,0.165,0
-0.2739,1,0.166,0.5,0.166,0
-0.27322,1,0.167,0.5,0.167,0
-0.27255,1,0.168,0.5,0.168,0
-0.27187,1,0.169,0.5,0.169,0
-0.2712,1,0.17,0.5,0.17,0
-0.27052,1,0.171,0.5,0.171,0
-0.26985,1,0.172,0.5,0.172,0
-0.26917,1,0.173,0.5,0.173,0
-0.2685,1,0.174,0.5,0.174,0
-0.26782,1,0.175,0.5,0.175,0
-0.26714,1,0.176,0.5,0.176,0
-0.26647,1,0.177,0.5,0.177,0
-0.26579,1,0.178,0.5,0.178,0
-0.26512,1,0.179,0.5,0.179,0
-0.26444,1,0.18,0.5,0.18,0
-0.26377,1,0.181,0.5,0.181,0
-0.26309,1,0.182,0.5,0.182,0
-0.26242,1,0.183,0.5,0.183,0
-0.26174,1,0.184,0.5,0.184,0
-0.26107,1,0.185,0.5,0.185,0
-0.26039,1,0.186,0.5,0.186,0
-0.25971,1,0.187,0.5,0.187,0
-0.25907,1,0.188,0.5,0.188,0
-0.25845,1,0.189,0.5,0.189,0
-0.25783,1,0.19,0.5,0.19,0
-0.25721,1,0.191,0.5,0.191,0
-0.25659,1,0.192,0.5,0.192,0
-0.25597,1,0.193,0.5,0.193,0
-0.25535,1,0.194,0.5,0.194,0
-0.25474,1,0.195,0.5,0.195,0
-0.25412,1,0.196,0.5,0.196,0
-0.2535,1,0.197,0.5,0.197,0
-0.25288,1,0.198,0.5,0.198,0
-0.25226,1,0.199,0.5,0.199,0
-0.25164,1,0.2,0.5,0.2,0
-0.25102,1,0.201,0.5,0.201,0
-0.2504,1,0.202,0.5,0.202,0
-0.24979,1,0.203,0.5,0.203,0
-0.24917,1,0.204,0.5,0.204,0
-0.24855,1,0.205,0.5,0.205,0
-0.24793,1,0.206,0.5,0.206,0
-0.24731,1,0.207,0.5,0.207,0
-0.24669,1,0.208,0.5,0.208,0
-0.24607,1,0.209,0.5,0.209,0
-0.24545,1,0.21,0.5,0.21,0
-0.24484,1,0.211,0.5,0.211,0
-0.24422,1,0.212,0.5,0.212,0
-0.2436,1,0.213,0.5,0.213,0
-0.24298,1,0.214,0.5,0.214,0
-0.24236,1,0.215,0.5,0.215,0
-0.24174,1,0.216,0.5,0.216,0
-0.24112,1,0.217,0.5,0.217,0
-0.2405,1,0.218,0.5,0.218,0
-0.23989,1,0.219,0.5,0.219,0
-0.23927,1,0.22,0.5,0.22,0
-0.23865,1,0.221,0.5,0.221,0
-0.23803,1,0.222,0.5,0.222,0
-0.23741,1,0.223,0.5,0.223,0
