"u_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.17361,1,0.707,0.5,0.707,0
0.17399,1,0.708,0.5,0.708,0
0.17436,1,0.709,0.5,0.709,0
0.17474,1,0.71,0.5,0.71,0
0.17512,1,0.711,0.5,0.711,0
0.1755,1,0.712,0.5,0.712,0
0.17588,1,0.713,0.5,0.713,0
0.17626,1,0.714,0.5,0.714,0
0.17664,1,0.715,0.5,0.715,0
0.17702,1,0.716,0.5,0.716,0
0.1774,1,0.717,0.5,0.717,0
0.17778,1,0.718,0.5,0.718,0
0.17854,1,0.719,0.5,0.719,0
0.18046,1,0.72,0.5,0.72,0
0.18239,1,0.721,0.5,0.721,0
0.18431,1,0.722,0.5,0.722,0
0.18623,1,0.723,0.5,0.723,0
0.18815,1,0.724,0.5,0.724,0
0.19007,1,0.725,0.5,0.725,0
0.19199,1,0.726,0.5,0.726,0
0.19392,1,0.727,0.5,0.727,0
0.19584,1,0.728,0.5,0.728,0
0.19776,1,0.729,0.5,0.729,0
0.19968,1,0.73,0.5,0.73,0
0.2016,1,0.731,0.5,0.731,0
0.20352,1,0.732,0.5,0.732,0
0.20545,1,0.733,0.5,0.733,0
0.20737,1,0.734,0.5,0.734,0
0.20929,1,0.735,0.5,0.735,0
0.21121,1,0.736,0.5,0.736,0
0.21313,1,0.737,0.5,0.737,0
0.21505,1,0.738,0.5,0.738,0
0.21698,1,0.739,0.5,0.739,0
0.2189,1,0.74,0.5,0.74,0
0.22082,1,0.741,0.5,0.741,0
0.22274,1,0.742,0.5,0.742,0
0.22466,1,0.743,0.5,0.743,0
0.22658,1,0.744,0.5,0.744,0
0.22851,1,0.745,0.5,0.745,0
0.23043,1,0.746,0.5,0.746,0
0.23235,1,0.747,0.5,0.747,0
0.23427,1,0.748,0.5,0.748,0
0.23619,1,0.749,0.5,0.749,0
0.23812,1,0.75,0.5,0.75,0
0.23838,1,0.751,0.5,0.751,0
0.23864,1,0.752,0.5,0.752,0
0.2389,1,0.753,0.5,0.753,0
0.23916,1,0.754,0.5,0.754,0
0.23942,1,0.755,0.5,0.755,0
0.23968,1,0.756,0.5,0.756,0
0.23994,1,0.757,0.5,0.757,0
0.2402,1,0.758,0.5,0.758,0
0.24046,1,0.759,0.5,0.759,0
0.24072,1,0.76,0.5,0.76,0
0.24098,1,0.761,0.5,0.761,0
0.24124,1,0.762,0.5,0.762,0
0.2415,1,0.763,0.5,0.763,0
0.24176,1,0.764,0.5,0.764,0
0.24202,1,0.765,0.5,0.765,0
0.24228,1,0.766,0.5,0.766,0
0.24254,1,0.767,0.5,0.767,0
0.2428,1,0.768,0.5,0.768,0
0.24306,1,0.769,0.5,0.769,0
0.24333,1,0.77,0.5,0.77,0
0.24359,1,0.771,0.5,0.771,0
0.24385,1,0.772,0.5,0.772,0
0.24411,1,0.773,0.5,0.773,0
0.24437,1,0.774,0.5,0.774,0
0.24463,1,0.775,0.5,0.775,0
0.24489,1,0.776,0.5,0.776,0
0.24515,1,0.777,0.5,0.777,0
0.24541,1,0.778,0.5,0.778,0
0.24567,1,0.779,0.5,0.779,0
0.24593,1,0.78,0.5,0.78,0
0.24619,1,0.781,0.5,0.781,0
0.2479,1,0.782,0.5,0.782,0
0.2501,1,0.783,0.5,0.783,0
0.25229,1,0.784,0.5,0.784,0
0.25448,1,0.785,0.5,0.785,0
0.25668,1,0.786,0.5,0.786,0
0.25887,1,0.787,0.5,0.787,0
0.26106,1,0.788,0.5,0.788,0
0.26326,1,0.789,0.5,0.789,0
0.26545,1,0.79,0.5,0.79,0
0.26765,1,0.791,0.5,0.791,0
0.26984,1,0.792,0.5,0.792,0
0.27203,1,0.793,0.5,0.793,0
0.27423,1,0.794,0.5,0.794,0
0.27642,1,0.795,0.5,0.795,0
0.27861,1,0.796,0.5,0.796,0
0.28081,1,0.797,0.5,0.797,0
0.283,1,0.798,0.5,0.798,0
0.2852,1,0.799,0.5,0.799,0
0.28739,1,0.8,0.5,0.8,0
0.28958,1,0.801,0.5,0.801,0
0.29178,1,0.802,0.5,0.802,0
